Date,Close,High,Low,Open,Volume
2016-01-01,41.81,41.81,41.81,41.81,0
2016-01-04,40.69,41.19,40.34,41.06,3287335
2016-01-05,40.55,40.95,40.34,40.73,2587246
2016-01-06,40.73,40.99,40.05,40.24,2103619
2016-01-07,39.0,40.15,38.81,40.14,3504314
2016-01-08,38.59,39.705,38.465,39.22,3736768
2016-01-11,37.94,38.9,37.41,38.71,2818611
2016-01-12,38.19,38.58,37.6462,38.43,1989379
2016-01-13,36.86,38.47,36.715,38.35,4206638
2016-01-14,37.61,37.8799,36.55,36.94,2893372
2016-01-15,37.11,37.56,36.55,36.67,2994386
2016-01-18,37.11,37.11,37.11,37.11,0
2016-01-19,37.2,37.92,36.79,37.64,2506559
2016-01-20,37.26,37.61,36.13,36.68,2469088
2016-01-21,37.23,37.83,36.81,37.35,2298372
2016-01-22,37.98,38.18,37.58,37.91,1834467
2016-01-25,37.61,38.03,37.4,37.4,1831240
2016-01-26,37.51,37.96,37.36,37.89,1755032
2016-01-27,37.05,37.92,36.81,37.39,1479446
2016-01-28,36.11,37.27,36.01,37.27,3479452
2016-01-29,37.65,37.69,36.31,36.44,2959863
2016-02-01,37.69,37.945,37.0,37.37,2666567
2016-02-02,37.07,37.55,36.95,37.18,1742325
2016-02-03,37.19,37.36,36.29,37.27,2128426
2016-02-04,37.42,37.79,36.97,37.15,2833492
2016-02-05,36.04,37.31,35.83,37.26,4424609
2016-02-08,34.8,35.78,34.39,35.61,3888601
2016-02-09,35.37,35.77,34.15,34.21,3464464
2016-02-10,35.85,36.73,35.53,35.63,3169951
2016-02-11,35.33,35.61,34.935,35.12,3224004
2016-02-12,36.22,36.23,35.52,35.84,3923627
2016-02-15,36.22,36.22,36.22,36.22,0
2016-02-16,37.08,37.17,36.4,36.72,2903649
2016-02-17,37.87,38.13,34.75,35.22,5382312
2016-02-18,37.19,37.96,37.09,37.73,2231481
2016-02-19,37.44,37.6,36.85,36.98,2339426
2016-02-22,38.03,38.19,37.78,37.88,1792962
2016-02-23,37.17,37.96,36.95,37.64,1282290
2016-02-24,37.48,37.5,36.47,36.65,1454952
2016-02-25,37.63,37.71,36.96,37.62,1453515
2016-02-26,37.59,37.92,37.44,37.75,944266
2016-02-29,37.35,37.7,37.33,37.59,2187405
2016-03-01,38.59,38.66,37.61,37.63,2760200
2016-03-02,39.04,39.27,38.41,38.49,3612508
