Date,Close,High,Low,Open,Volume
2016-01-01,150.51,150.51,150.51,150.51,0
2016-01-04,152.24,154.48,147.51,149.25,1935307
2016-01-05,151.2,153.79,149.89,152.35,1127677
2016-01-06,147.2,150.05,145.78,149.68,1048419
2016-01-07,148.83,149.4599,143.13,144.8,1343674
2016-01-08,145.56,149.44,144.871,149.03,1030364
2016-01-11,147.05,148.12,145.06,146.13,1114216
2016-01-12,148.07,148.97,145.735,147.52,1045447
2016-01-13,142.16,148.89,141.76,148.34,1336041
2016-01-14,141.32,143.0,139.16,142.18,1121194
2016-01-15,144.29,144.705,137.66,138.03,1333072
2016-01-18,144.29,144.29,144.29,144.29,0
2016-01-19,144.62,146.442,142.9,145.09,1183962
2016-01-20,143.39,145.11,139.405,142.58,616735
2016-01-21,143.8,146.39,142.27,143.24,706825
2016-01-22,144.43,145.85,142.59,144.94,990392
2016-01-25,144.72,146.33,143.24,144.99,853747
2016-01-26,151.47,152.71,144.76,145.44,1156060
2016-01-27,151.52,154.06,150.18,151.15,988265
2016-01-28,148.56,153.7,145.67,152.96,1002057
2016-01-29,152.05,152.23,148.18,149.87,1255571
2016-02-01,154.89,156.34,150.68,151.7,862905
2016-02-02,151.86,154.94,150.67,154.38,713105
2016-02-03,147.94,152.95,146.02,151.58,1513607
2016-02-04,147.85,148.44,145.48,147.46,1573505
2016-02-05,143.94,147.96,143.44,147.54,1284245
2016-02-08,141.45,143.1,136.06,142.77,2109895
2016-02-09,141.5,143.64,139.13,141.15,1239808
2016-02-10,138.57,143.5,138.41,141.13,2203727
2016-02-11,138.41,142.77,131.59,137.04,2575686
2016-02-12,140.77,141.4,137.19,139.54,974825
2016-02-15,140.77,140.77,140.77,140.77,0
2016-02-16,146.0,148.97,141.18,142.04,1315379
2016-02-17,143.41,149.01,142.99,147.17,1471114
2016-02-18,143.32,144.84,140.56,142.35,1068026
2016-02-19,143.63,145.09,141.35,143.52,949401
2016-02-22,147.87,148.47,145.025,145.25,896869
2016-02-23,147.55,151.34,147.37,148.44,698270
2016-02-24,150.42,150.62,145.47,147.34,625069
2016-02-25,150.08,151.49,147.05,150.8,639872
2016-02-26,150.05,151.38,148.41,150.6,589473
2016-02-29,148.44,151.06,148.38,150.0,862202
2016-03-01,153.35,153.54,149.295,149.92,622094
2016-03-02,152.17,153.82,151.325,152.44,659355
2016-03-03,153.88,154.2,149.87,151.34,785641
2016-03-04,152.37,154.27,151.17,154.07,725580
2016-03-07,151.52,152.87,150.38,151.37,481410
2016-03-08,149.68,152.65,149.17,150.59,1016224
2016-03-09,153.77,154.09,149.75,150.98,627985
2016-03-10,156.15,156.2899,153.54,153.8,765248
2016-03-11,158.57,159.1575,155.97,156.84,963397
2016-03-14,159.34,160.14,157.35,157.53,665987
2016-03-15,158.58,160.12,157.35,158.33,830338
2016-03-16,158.96,160.16,157.02,158.46,486756
2016-03-17,157.94,158.84,156.3,157.78,580280
2016-03-18,157.47,158.5,156.66,158.27,854195
