Date,Close,High,Low,Open,Volume
2016-01-01,59.24,59.24,59.24,59.24,0
2016-01-04,57.61,58.32,56.4,58.06,10308397
2016-01-05,57.37,58.25,56.815,57.99,7179634
2016-01-06,57.38,57.56,56.18,56.37,8952688
2016-01-07,57.21,57.84,56.34,56.52,9292584
2016-01-08,55.65,57.81,55.48,57.55,7985221
2016-01-11,53.88,55.98,52.83,55.86,10483272
2016-01-12,54.84,54.9701,53.57,54.47,6799265
2016-01-13,51.18,54.62,50.98,54.55,10432227
2016-01-14,54.56,56.8295,50.71,51.32,16704885
2016-01-15,57.34,57.41,53.01,53.01,26777884
2016-01-18,57.34,57.34,57.34,57.34,0
2016-01-19,54.99,57.73,54.23,57.53,13643872
2016-01-20,57.15,57.93,53.7,54.21,11993149
2016-01-21,58.36,58.77,56.92,57.29,12096954
2016-01-22,58.83,59.43,57.82,59.1,10383842
2016-01-25,58.65,59.81,58.18,59.03,9680396
2016-01-26,58.26,59.27,57.21,59.01,7421073
2016-01-27,57.11,58.93,56.45,58.36,9075307
2016-01-28,55.85,57.73,54.78,57.23,10520810
2016-01-29,54.9,55.31,53.42,53.42,17768683
2016-02-01,54.39,54.88,52.51,54.16,11693273
2016-02-02,53.95,54.78,53.32,53.64,7918204
2016-02-03,56.84,57.18,54.05,54.53,16435661
2016-02-04,56.76,57.31,55.355,56.74,10351220
2016-02-05,53.12,56.34,52.62,56.25,13263142
2016-02-08,52.89,54.1,51.941,52.58,9369377
2016-02-09,53.48,53.94,52.06,52.31,7655796
2016-02-10,52.72,54.69,52.55,54.11,9302580
2016-02-11,52.18,53.12,51.8162,52.3,8551125
2016-02-12,52.58,52.97,51.6,52.53,9976111
2016-02-15,52.58,52.58,52.58,52.58,0
2016-02-16,53.51,53.87,52.73,53.44,8312989
2016-02-17,55.01,55.155,53.35,54.34,10005667
2016-02-18,54.55,55.53,54.17,55.53,6553311
2016-02-19,54.29,55.0,53.98,54.5,8532544
2016-02-22,55.28,55.32,53.74,54.67,9381738
2016-02-23,55.07,56.31,55.0,55.7,8629685
2016-02-24,54.89,55.07,54.01,54.66,6633443
2016-02-25,56.2,56.23,54.43,55.17,7076286
2016-02-26,56.0,56.79,55.8,56.26,5297979
2016-02-29,54.61,56.0,54.47,55.87,8387319
2016-03-01,56.34,56.34,54.24,54.78,7106044
2016-03-02,55.7,56.43,55.4,56.17,7054840
2016-03-03,55.93,56.0859,55.15,55.69,9283916
2016-03-04,56.15,56.696,55.3,56.0,6439655
2016-03-07,56.4,56.5,54.83,55.7,7741742
2016-03-08,55.32,56.47,55.23,56.18,5303745
2016-03-09,56.39,56.65,55.04,55.51,8402376
2016-03-10,56.23,57.37,55.3188,56.56,5627812
2016-03-11,57.73,57.87,56.35,56.4,6537430
2016-03-14,57.21,57.73,56.97,57.67,4650827
2016-03-15,55.62,56.93,55.128,56.65,5779326
2016-03-16,56.31,56.54,55.25,55.58,6244869
2016-03-17,55.32,56.46,54.41,56.46,8308631
2016-03-18,56.57,56.6,54.8,55.59,11029792
2016-03-21,56.01,56.775,55.73,56.52,6632920
2016-03-22,57.5,57.54,55.75,55.75,7660979
2016-03-23,56.36,57.5,56.22,57.16,5116420
2016-03-24,56.12,56.25,55.67,56.14,5278949
2016-03-25,56.12,56.12,56.12,56.12,0
2016-03-28,56.11,56.7,55.8,56.35,3803128
2016-03-29,57.05,57.1,55.2169,56.1,4567654
2016-03-30,57.0,57.53,56.72,57.43,3650279
2016-03-31,57.12,57.46,56.82,57.02,4930321
2016-04-01,57.42,57.57,56.36,56.58,4525718
2016-04-04,59.21,59.4,57.49,57.64,8108129
2016-04-05,58.54,59.56,58.085,58.54,6779355
2016-04-06,59.89,59.9,58.52,58.52,6322768
2016-04-07,59.3,59.9,58.76,59.42,7826557
2016-04-08,58.47,59.8,58.17,59.49,5749998
2016-04-11,58.5,59.25,58.25,58.59,4893724
2016-04-12,59.89,60.05,58.69,58.98,7243361
2016-04-13,59.06,60.0,58.7,59.87,7023002
2016-04-14,59.28,59.49,59.0,59.15,5185595
2016-04-15,59.51,59.74,58.78,59.55,4660835
2016-04-18,59.88,60.32,59.3,59.5,6088517
2016-04-19,60.17,61.23,59.67,60.09,6149273
2016-04-20,60.48,61.11,59.96,60.17,4443645
2016-04-21,61.37,61.43,60.54,60.57,5702153
2016-04-22,61.42,61.99,60.96,61.3,5103024
2016-04-25,60.97,61.3,60.75,61.13,4320271
2016-04-26,60.93,61.29,60.53,60.96,4281406
2016-04-27,60.7,61.48,60.25,60.93,6678558
2016-04-28,61.2,62.1,57.53,58.56,16235045
2016-04-29,61.0,61.445,60.48,61.03,13052678
2016-05-02,61.44,62.0,60.7,60.79,9512008
2016-05-03,61.77,62.09,60.72,60.99,9316165
2016-05-04,61.46,61.65,61.01,61.3,8691399
2016-05-05,62.34,62.395,61.09,61.41,8646174
2016-05-06,62.51,62.745,61.65,62.0,10880407
2016-05-09,63.7,63.87,62.2802,62.36,9917401
2016-05-10,63.74,63.76,63.3225,63.51,12103393
2016-05-11,62.7,63.825,62.64,63.77,9375138
2016-05-12,62.49,63.07,62.389,62.86,9589470
2016-05-13,62.0,62.86,61.8215,62.15,7339589
2016-05-16,62.45,62.62,61.5,61.91,6707375
2016-05-17,60.25,62.7899,58.5,62.44,31527592
2016-05-18,60.46,60.8,59.56,59.87,10622035
2016-05-19,59.28,60.35,58.9,60.06,9917904
2016-05-20,59.69,60.05,59.03,59.63,11259353
2016-05-23,59.3,59.84,59.13,59.75,6468921
2016-05-24,60.7,60.91,59.52,59.73,8888080
2016-05-25,61.22,61.47,60.79,61.08,5857619
2016-05-26,61.9,62.17,60.9,61.0,6537016
2016-05-27,62.71,63.2,61.9,61.99,5768006
2016-05-30,62.71,62.71,62.71,62.71,0
2016-05-31,62.93,63.49,62.64,62.71,7147942
2016-06-01,62.83,63.17,62.63,62.9,5284439
2016-06-02,65.09,65.15,62.83,62.87,11627875
2016-06-03,65.0,65.37,63.75,64.76,10621568
2016-06-06,62.82,62.99,61.87,62.13,16403352
2016-06-07,63.1,63.59,62.3,62.59,10980074
2016-06-08,61.73,62.3,61.37,62.21,13172784
2016-06-09,60.75,62.17,60.515,61.5,11503706
2016-06-10,61.0,61.01,59.72,59.99,11052311
2016-06-13,59.93,61.39,59.85,60.46,11673421
2016-06-14,59.9,60.38,59.16,59.46,11560161
2016-06-15,60.4,61.27,60.01,60.29,7739270
2016-06-16,60.9,60.94,59.91,59.93,7011206
2016-06-17,60.01,60.97,59.57,60.88,12574720
2016-06-20,60.11,61.18,60.06,60.64,7076452
2016-06-21,59.98,60.4,59.75,60.2,6366129
2016-06-22,60.39,61.18,59.92,60.0,6718704
2016-06-23,61.31,61.32,60.62,60.86,5328036
2016-06-24,59.86,60.6,59.18,59.26,9877819
2016-06-27,58.68,59.68,58.329,59.38,7947017
2016-06-28,59.99,60.13,59.15,59.28,9897535
