Date,Close,High,Low,Open,Volume
2016-01-01,44.91,44.91,44.91,44.91,0
2016-01-04,42.93,44.05,42.5,43.94,12227458
2016-01-05,42.92,43.2,42.61,42.96,8245208
2016-01-06,42.56,42.975,42.21,42.31,5906042
2016-01-07,41.54,42.18,41.4,41.68,7151352
2016-01-08,40.67,41.9,40.54,41.86,7477658
2016-01-11,40.73,40.9,40.1,40.77,7839704
2016-01-12,41.46,41.61,40.87,40.99,7329319
2016-01-13,40.28,41.69,40.16,41.48,5754349
2016-01-14,41.1,41.318,40.14,40.34,7326779
2016-01-15,40.54,40.92,39.75,39.85,10464812
2016-01-18,40.54,40.54,40.54,40.54,0
2016-01-19,40.43,41.32,40.13,41.1,7997345
2016-01-20,39.96,40.28,39.08,39.73,11279856
2016-01-21,39.48,40.18,39.24,40.18,10089167
2016-01-22,40.03,40.2,39.74,40.2,8854648
2016-01-25,39.66,40.16,39.58,40.03,5304620
2016-01-26,40.16,40.44,39.645,39.86,5360386
2016-01-27,40.47,41.49,39.9,39.95,10530704
2016-01-28,36.71,38.5,36.0,38.41,23544369
2016-01-29,37.85,37.87,36.68,36.69,16124348
2016-02-01,38.45,38.71,36.17,36.17,14252107
2016-02-02,37.88,38.73,37.82,38.0,9632365
2016-02-03,38.02,38.41,37.1,38.23,6913954
2016-02-04,38.01,38.22,37.53,37.78,5103812
2016-02-05,37.41,38.35,37.115,38.23,5750213
2016-02-08,37.46,37.64,36.69,37.19,7801988
2016-02-09,37.0,37.785,36.87,36.96,8691584
2016-02-10,37.21,38.18,37.12,37.58,7909567
2016-02-11,36.34,36.85,36.02,36.44,7723836
2016-02-12,37.13,37.15,36.4,36.7,6424843
2016-02-15,37.13,37.13,37.13,37.13,0
2016-02-16,37.99,38.01,37.12,37.13,7960026
2016-02-17,38.45,38.56,38.24,38.37,6358927
2016-02-18,38.31,38.89,38.215,38.34,5618517
2016-02-19,38.53,38.65,38.14,38.32,5734963
2016-02-22,39.16,39.245,38.7403,39.0,4946303
2016-02-23,38.39,39.05,38.3,38.91,6144311
2016-02-24,39.2,39.32,37.97,38.18,7054827
2016-02-25,39.63,39.64,38.97,39.22,7608332
2016-02-26,39.52,39.88,39.22,39.48,8741436
2016-02-29,38.74,39.8364,38.74,39.34,8462812
2016-03-01,39.33,39.46,38.795,38.91,9693915
2016-03-02,39.34,39.57,39.1,39.35,7498122
2016-03-03,38.82,38.89,38.09,38.56,13516152
2016-03-04,39.18,39.365,38.8,38.85,7417640
2016-03-07,39.18,39.39,38.92,39.0,5955825
2016-03-08,39.17,39.49,38.88,38.95,7704218
2016-03-09,39.28,39.39,39.0062,39.26,6196135
2016-03-10,39.03,39.88,38.82,39.41,8716891
2016-03-11,40.37,40.45,39.08,39.25,11786377
2016-03-14,40.5,40.68,39.9863,40.31,5707834
2016-03-15,39.9,40.34,39.55,40.16,5309082
2016-03-16,40.18,40.315,39.78,40.14,5392953
2016-03-17,40.29,40.405,39.535,40.2,6090561
2016-03-18,40.79,40.94,40.14,40.36,10143887
2016-03-21,40.76,40.77,40.44,40.58,4054782
2016-03-22,41.03,41.16,40.34,40.5,6652301
2016-03-23,40.78,41.34,40.69,40.84,4087593
2016-03-24,40.75,40.9,40.36,40.64,4261406
2016-03-25,40.75,40.75,40.75,40.75,0
2016-03-28,40.88,41.0,40.61,40.77,3328016
2016-03-29,41.47,41.53,40.71,40.75,4127036
2016-03-30,41.65,41.94,41.49,41.6,3433188
2016-03-31,41.83,42.0,41.51,41.65,5168358
2016-04-01,42.19,42.26,41.36,41.53,3972910
2016-04-04,42.32,42.67,42.16,42.34,4406650
2016-04-05,42.04,42.26,41.89,42.01,6582670
2016-04-06,43.05,43.16,41.98,41.98,6261000
2016-04-07,42.61,42.91,42.24,42.67,4901278
2016-04-08,42.37,42.9299,42.121,42.78,4920295
2016-04-11,42.48,42.88,42.46,42.47,3948803
2016-04-12,42.82,43.07,42.36,42.36,5100180
2016-04-13,43.35,43.42,42.68,42.87,4140691
2016-04-14,43.51,43.66,43.28,43.38,3118706
2016-04-15,43.41,43.548,43.18,43.53,3620361
2016-04-18,43.95,44.01,43.18,43.18,4268804
2016-04-19,43.85,44.01,43.49,44.0,7787180
2016-04-20,43.97,44.58,43.51,44.48,8693520
2016-04-21,43.88,44.32,43.59,43.78,6171302
2016-04-22,44.08,44.17,43.72,43.72,4691801
2016-04-25,44.01,44.2,43.81,44.01,4136820
2016-04-26,43.88,44.25,43.755,44.16,3373397
2016-04-27,43.83,44.0,43.69,43.93,5035092
2016-04-28,40.42,41.69,39.99,40.08,54523505
2016-04-29,38.9,40.38,38.58,40.365,30646842
2016-05-02,38.85,39.12,38.42,38.85,21291714
2016-05-03,38.55,38.83,38.21,38.8,18241628
2016-05-04,38.1,38.46,38.0,38.35,13975308
2016-05-05,38.5,38.73,38.1,38.28,16529367
2016-05-06,37.97,38.4,37.71,38.22,11399747
2016-05-09,37.98,38.58,37.88,38.11,11155561
2016-05-10,38.1,38.3,37.78,38.3,11227049
2016-05-11,38.01,38.29,37.9,38.2,10598334
2016-05-12,38.0,38.1701,37.52,38.14,10395442
2016-05-13,37.6,38.0561,37.47,37.86,9337789
2016-05-16,38.25,38.41,37.6,37.6,10178449
2016-05-17,37.71,38.3,37.55,38.22,8357129
2016-05-18,37.75,38.1,37.49,37.75,10641315
2016-05-19,37.24,37.68,36.89,37.56,8221339
2016-05-20,37.6,37.78,37.48,37.55,7807640
2016-05-23,37.37,37.75,37.27,37.72,7125736
2016-05-24,37.98,38.07,37.43,37.49,8678415
2016-05-25,38.68,38.77,38.03,38.06,16141154
