Date,Close,High,Low,Open,Volume
2016-01-01,104.5,104.5,104.5,104.5,0
2016-01-04,101.83,102.65,100.97,102.62,2817024
2016-01-05,102.36,102.87,101.47,101.97,2408961
2016-01-06,102.16,103.06,100.54,100.81,3134204
2016-01-07,99.16,100.84,98.84,99.75,3194718
2016-01-08,98.2,99.81,98.0,99.48,2330210
2016-01-11,99.23,99.72,98.075,98.48,2734441
2016-01-12,101.01,101.29,99.435,99.96,2811046
2016-01-13,99.26,101.75,98.74,101.39,3160151
2016-01-14,101.88,102.47,98.91,99.12,4285458
2016-01-15,99.27,101.01,98.45,98.74,5184309
2016-01-18,99.27,99.27,99.27,99.27,0
2016-01-19,101.38,101.95,99.78,100.16,3478187
2016-01-20,99.06,100.19,97.14,99.24,5245019
2016-01-21,98.29,99.91,98.0,99.04,4499467
2016-01-22,102.24,102.36,99.56,99.79,3609669
2016-01-25,101.75,103.15,101.24,102.21,2962051
2016-01-26,102.53,103.13,101.45,101.79,2925601
2016-01-27,101.96,103.6,101.33,102.67,3044295
2016-01-28,103.08,103.59,101.59,102.84,3378841
2016-01-29,105.54,105.65,103.24,103.37,4878504
2016-02-01,106.28,106.8,104.73,104.75,3693811
2016-02-02,103.82,105.62,103.45,105.27,2992925
2016-02-03,102.1,104.68,100.62,104.45,4535928
2016-02-04,102.73,103.02,101.38,102.22,3875394
2016-02-05,98.97,102.5881,98.58,102.42,3894459
2016-02-08,95.07,96.65,93.35,96.65,6681731
2016-02-09,93.32,95.08,91.4,94.01,6679491
2016-02-10,94.21,95.74,94.131,94.43,4649117
2016-02-11,93.43,93.92,92.25,92.54,4202794
2016-02-12,94.7,95.0,93.99,94.43,3122497
2016-02-15,94.7,94.7,94.7,94.7,0
2016-02-16,96.91,97.09,95.48,96.24,3808270
2016-02-17,99.01,99.91,97.73,97.74,3741673
2016-02-18,98.52,101.12,98.31,99.62,2740777
2016-02-19,98.95,99.02,97.93,98.31,3229426
2016-02-22,100.35,100.59,99.58,100.158,2126278
2016-02-23,99.65,100.68,99.55,100.34,2359061
2016-02-24,99.55,99.62,97.92,98.65,2567838
2016-02-25,100.91,100.93,99.16,99.96,2794525
2016-02-26,101.12,102.1,100.95,101.48,2108002
2016-02-29,100.26,101.73,100.14,100.68,2389291
2016-03-01,103.45,103.45,101.0,101.38,2125536
2016-03-02,102.66,103.48,101.98,103.48,2436007
2016-03-03,102.8,102.85,101.18,102.45,2036236
2016-03-04,103.18,103.55,102.57,103.09,1581873
2016-03-07,102.4,102.56,101.5,102.44,1835624
2016-03-08,102.62,102.94,101.36,101.75,2330599
2016-03-09,103.4,103.42,102.62,102.93,2296742
2016-03-10,103.58,104.4,102.1,103.64,2406897
2016-03-11,105.68,105.8,104.16,104.49,2952712
2016-03-14,106.32,106.7,104.97,105.1,2757854
2016-03-15,107.07,107.29,105.4,106.06,2390970
2016-03-16,107.59,107.9199,106.26,107.24,2332823
2016-03-17,108.56,108.67,107.19,107.59,2876720
2016-03-18,107.77,108.73,107.19,108.73,8616844
2016-03-21,108.16,108.85,107.14,107.33,3472200
2016-03-22,107.83,108.4299,107.29,107.72,2136170
2016-03-23,107.66,108.36,107.21,107.38,3193264
2016-03-24,114.3,114.435,108.68,108.79,6472639
2016-03-25,114.3,114.3,114.3,114.3,0
2016-03-28,114.17,115.46,113.68,114.43,4214744
2016-03-29,115.26,115.47,113.45,113.5,4033829
2016-03-30,115.37,116.51,115.03,115.4,3182300
2016-03-31,115.4,116.0,115.0,115.1,2740603
2016-04-01,116.35,116.52,114.7,114.76,2019197
2016-04-04,115.5,116.2,114.92,116.08,2231897
2016-04-05,114.13,115.145,113.9,114.49,2069675
2016-04-06,114.67,114.95,113.74,113.99,2918856
2016-04-07,112.1,114.02,111.79,113.73,3075910
2016-04-08,112.83,113.23,111.85,112.92,1627345
2016-04-11,113.1,114.0,112.8,112.94,2465290
2016-04-12,114.39,114.5,112.916,113.33,2715537
2016-04-13,114.96,115.02,113.47,113.87,4390457
2016-04-14,114.75,115.27,114.14,115.0,2062234
2016-04-15,114.82,115.31,114.34,114.76,2299687
2016-04-18,115.59,115.68,113.95,114.27,2237540
2016-04-19,115.1,115.83,114.38,115.61,1822998
2016-04-20,115.54,116.178,115.09,115.5,2220911
2016-04-21,114.48,116.1658,114.44,115.33,2327284
2016-04-22,113.95,114.965,113.64,114.0,2634569
2016-04-25,114.1,114.25,113.24,113.86,1805864
2016-04-26,114.61,115.06,113.84,114.41,2177513
2016-04-27,115.48,115.67,114.135,114.14,1990767
2016-04-28,114.33,116.04,113.98,114.99,2028155
2016-04-29,112.92,114.19,112.29,114.19,2451507
2016-05-02,114.4,114.695,112.31,112.9,2293850
2016-05-03,113.3,113.88,112.25,113.48,2031648
2016-05-04,113.55,113.91,112.26,112.26,1822137
2016-05-05,114.08,114.43,113.47,113.65,1704623
2016-05-06,115.55,115.67,113.35,113.82,1917602
2016-05-09,115.47,116.23,115.0,115.28,1452862
2016-05-10,116.94,116.95,115.48,115.59,1622165
2016-05-11,115.98,116.99,115.863,116.99,1582914
2016-05-12,116.36,116.63,115.47,116.42,2114291
2016-05-13,115.44,116.63,115.14,116.22,1803364
2016-05-16,117.15,117.59,115.01,115.62,2609729
2016-05-17,116.22,117.5,115.87,117.31,2136428
2016-05-18,116.52,117.35,115.46,116.06,1367315
2016-05-19,116.03,116.27,114.59,116.27,1752528
2016-05-20,116.47,116.91,116.1,116.1,1538235
2016-05-23,116.18,116.69,115.835,116.69,1256186
2016-05-24,119.12,119.21,116.58,116.58,2066412
2016-05-25,118.55,119.72,118.47,119.23,2123611
2016-05-26,118.41,119.2,118.05,118.59,1435852
2016-05-27,118.94,118.94,117.77,118.84,1317398
2016-05-30,118.94,118.94,118.94,118.94,0
2016-05-31,118.97,119.15,118.09,118.89,1955714
2016-06-01,119.01,119.12,118.11,118.21,1202931
2016-06-02,119.24,119.27,118.0,118.7,1605730
2016-06-03,118.9,119.0,117.91,118.88,1196682
2016-06-06,119.6,119.76,118.52,119.0,1202927
2016-06-07,119.65,120.15,119.24,119.94,1317339
2016-06-08,119.32,119.95,118.54,119.59,2072203
2016-06-09,119.44,119.53,117.8,118.35,1197211
2016-06-10,118.27,118.89,117.94,118.5,1452092
2016-06-13,117.08,118.94,117.03,117.86,1992268
2016-06-14,118.09,118.32,116.75,117.08,1425344
2016-06-15,117.45,118.39,117.33,118.3,1453226
2016-06-16,118.3,118.52,116.63,116.82,1569607
2016-06-17,117.57,118.11,116.79,118.09,2216526
2016-06-20,119.05,120.33,118.895,119.1,2092724
2016-06-21,119.43,119.84,119.2,119.61,2040194
2016-06-22,119.03,120.78,118.92,119.94,3274965
2016-06-23,118.91,118.91,116.5,118.54,2858758
2016-06-24,111.45,114.9,110.93,112.77,6814200
2016-06-27,109.29,110.75,108.66,110.34,3648356
2016-06-28,110.56,111.0,109.58,110.6,2873002
2016-06-29,111.76,112.02,110.9,111.67,3603021
2016-06-30,113.29,113.31,112.11,112.32,3682559
2016-07-01,113.52,114.23,113.29,113.66,2195489
2016-07-04,113.52,113.52,113.52,113.52,0
2016-07-05,113.1,113.56,112.625,113.51,2041071
2016-07-06,113.52,113.52,111.96,112.63,2667246
2016-07-07,112.7,113.9,112.51,113.51,2050523
2016-07-08,115.11,115.24,113.17,113.73,1962819
2016-07-11,115.46,115.98,115.13,115.7,1523057
2016-07-12,116.5,117.42,115.6,115.9,2435689
2016-07-13,116.83,117.16,116.29,117.0,1537156
2016-07-14,116.77,118.0,116.66,117.5,1502076
2016-07-15,115.09,116.64,114.25,116.48,2749041
2016-07-18,114.14,115.32,113.91,115.18,2388982
2016-07-19,113.37,114.04,113.04,113.65,1826968
2016-07-20,115.45,116.05,113.87,113.87,2665657
2016-07-21,112.36,115.286,111.97,115.07,2482538
2016-07-22,112.86,113.13,111.85,112.78,1982764
2016-07-25,113.07,113.11,112.06,112.78,1833853
2016-07-26,114.26,114.42,112.96,113.4,2796082
2016-07-27,113.71,114.45,113.21,114.45,2275836
2016-07-28,112.08,113.93,111.92,113.93,2224616
2016-07-29,112.81,113.12,111.33,112.4,2678733
2016-08-01,112.88,113.55,112.3,112.58,2235284
2016-08-02,112.83,112.99,112.08,112.64,2120103
2016-08-03,113.61,113.61,112.59,112.81,1601604
2016-08-04,113.71,113.99,112.69,113.17,2215283
2016-08-05,114.6,114.74,112.54,113.2,2746681
2016-08-08,113.68,114.75,113.49,114.6,1481921
2016-08-09,112.88,113.81,112.75,113.47,1820130
2016-08-10,113.22,113.48,112.7701,113.19,1498624
2016-08-11,113.39,113.99,113.38,113.53,1297603
2016-08-12,113.03,113.55,112.67,113.2,1414708
2016-08-15,113.6,114.11,112.75,113.0,2284399
2016-08-16,112.98,113.26,112.34,113.1,1998463
2016-08-17,112.93,113.7199,112.41,113.09,1566925
2016-08-18,112.35,113.1325,111.92,112.74,2406432
2016-08-19,113.05,113.15,111.73,112.21,1519042
2016-08-22,113.76,113.85,112.36,112.73,1459186
2016-08-23,115.48,115.9,113.64,113.94,2385087
2016-08-24,114.57,115.72,114.27,115.47,2266773
2016-08-25,115.04,115.26,113.67,114.24,1869256
2016-08-26,115.2,116.2,114.54,115.17,1419341
2016-08-29,114.85,115.56,114.35,115.08,1367742
2016-08-30,115.35,115.55,114.73,114.98,1319021
2016-08-31,115.0,115.38,114.48,114.93,1999417
2016-09-01,115.06,115.5,114.04,114.75,1572686
2016-09-02,115.66,116.26,115.2401,115.5,1539566
2016-09-05,115.66,115.66,115.66,115.66,0
2016-09-06,115.36,116.0,114.83,115.83,1479152
2016-09-07,115.12,115.86,114.94,115.37,1485099
2016-09-08,112.3,114.56,112.25,114.43,3078386
2016-09-09,110.39,112.09,110.33,111.71,3282650
2016-09-12,112.76,112.96,110.11,110.22,2370856
2016-09-13,110.53,111.96,110.17,111.58,2483203
2016-09-14,109.8,111.54,109.29,110.75,2328081
2016-09-15,110.72,111.42,108.831,109.64,2905821
2016-09-16,109.88,110.49,109.12,110.33,2604902
2016-09-19,110.5,111.28,110.14,110.61,1785685
2016-09-20,110.7,111.75,110.7,111.18,1995841
2016-09-21,111.7,111.89,110.75,111.49,2466908
2016-09-22,113.66,114.27,111.91,111.98,2596154
2016-09-23,113.09,113.79,109.5,110.51,2265179
2016-09-26,113.73,113.95,112.45,112.45,3224170
2016-09-27,116.13,116.22,113.75,113.75,3134703
2016-09-28,116.65,117.0625,115.37,115.68,3640226
2016-09-29,121.64,124.96,120.35,120.56,7643280
2016-09-30,122.17,123.03,121.78,121.78,4815794
2016-10-03,120.86,122.47,120.64,121.59,3667521
2016-10-04,118.24,121.44,117.755,121.18,3973560
2016-10-05,118.21,118.71,117.51,118.49,2875146
2016-10-06,118.52,118.81,117.68,118.21,2504502
2016-10-07,116.0,118.635,115.93,118.52,3034302
2016-10-10,117.46,117.98,116.38,116.38,2157553
2016-10-11,116.97,117.44,116.21,117.38,2708225
2016-10-12,117.62,117.97,116.71,117.41,2366466
2016-10-13,118.11,118.5,116.03,117.08,3106637
2016-10-14,118.25,119.16,117.86,118.46,2508485
2016-10-17,116.85,118.25,116.75,118.25,1904916
2016-10-18,117.53,118.26,117.35,117.7,2472902
2016-10-19,116.82,117.51,116.13,116.71,2263239
2016-10-20,116.05,117.14,115.96,116.6,2247838
2016-10-21,115.59,116.0,114.91,115.95,1979120
2016-10-24,115.8,116.5,115.48,116.02,1539785
2016-10-25,115.27,115.87,114.95,115.54,1456836
2016-10-26,115.45,115.9,114.51,114.79,1830897
2016-10-27,115.46,116.11,115.2,115.65,1871613
2016-10-28,115.67,116.58,115.03,115.85,1656236
2016-10-31,116.24,116.56,115.47,115.63,1877768
2016-11-01,116.14,116.7,115.455,116.5,2444386
2016-11-02,118.61,119.2,116.0,116.14,5361141
2016-11-03,116.95,118.5,116.66,118.13,2086406
2016-11-04,117.23,118.1199,116.44,117.04,2068333
2016-11-07,119.97,120.0,118.11,118.11,2311082
2016-11-08,119.81,121.0,119.51,119.9,2118777
2016-11-09,117.21,118.0,114.66,115.88,5797624
2016-11-10,120.33,120.8,117.29,117.34,4357469
2016-11-11,119.18,121.0,118.71,119.66,3201775
2016-11-14,117.25,119.59,116.2,119.17,3622499
2016-11-15,115.99,117.84,115.38,117.55,3119949
2016-11-16,117.32,118.03,115.76,116.19,2147097
2016-11-17,118.37,118.54,117.21,117.5,1313635
2016-11-18,118.43,118.56,117.87,118.25,2123479
2016-11-21,119.68,119.88,118.43,118.7,1694583
2016-11-22,119.48,120.39,119.32,119.92,2251828
2016-11-23,119.82,120.29,119.07,119.36,1966491
2016-11-24,119.82,119.82,119.82,119.82,0
