Date,Close,High,Low,Open,Volume
2016-01-01,93.94,93.94,93.94,93.94,0
2016-01-04,91.97,92.0,90.54,91.77,2993832
2016-01-05,92.34,92.85,91.41,92.01,1821298
2016-01-06,91.02,91.5,90.24,91.1,1673989
2016-01-07,89.11,91.4,88.71,89.4,2717802
2016-01-08,87.85,89.99,87.63,89.68,2263449
2016-01-11,89.38,89.8025,87.84,88.07,2362163
2016-01-12,89.82,91.03,88.4075,89.89,2370481
2016-01-13,88.3,91.44,87.99,90.59,3409113
2016-01-14,89.8,90.3,87.32,88.92,4087501
2016-01-15,89.17,89.35,86.82,86.84,3937523
2016-01-18,89.17,89.17,89.17,89.17,0
2016-01-19,89.18,91.4,88.37,90.29,3680618
2016-01-20,87.94,88.76,84.67,87.69,3667159
2016-01-21,88.0,89.93,87.14,88.64,4298802
2016-01-22,89.63,89.93,88.48,89.55,5390252
2016-01-25,86.77,89.26,86.63,88.39,3945006
2016-01-26,86.89,87.58,85.47,87.26,2746345
2016-01-27,84.85,87.83,84.51,87.27,3070623
2016-01-28,84.52,85.74,82.7,85.54,5315646
2016-01-29,89.13,89.13,85.12,85.55,4679475
2016-02-01,89.61,90.2383,87.9,88.16,2893124
2016-02-02,87.95,89.02,87.64,88.71,3070904
2016-02-03,87.99,89.25,86.67,88.91,3185809
2016-02-04,86.36,87.97,85.78,87.82,3417381
2016-02-05,79.2,85.5,77.83,85.5,10644177
2016-02-08,74.94,78.33,71.27,77.4,12909967
2016-02-09,73.85,77.19,73.04,74.76,6697354
2016-02-10,75.53,77.615,73.8965,74.99,6465276
2016-02-11,74.94,75.53,73.58,74.04,4984695
2016-02-12,76.67,77.36,75.4,75.99,4368740
2016-02-15,76.67,76.67,76.67,76.67,0
2016-02-16,78.88,79.2,77.13,77.13,4736362
2016-02-17,81.85,82.07,78.54,79.4,4474238
2016-02-18,80.53,82.82,80.135,82.3,3560252
2016-02-19,80.87,80.94,79.51,80.32,3928918
2016-02-22,83.8,84.16,82.05,82.09,3615504
2016-02-23,83.07,84.49,82.86,83.41,2958412
2016-02-24,83.42,83.53,80.93,82.22,2667257
2016-02-25,86.68,86.72,84.15,84.76,3284022
2016-02-26,86.6,87.48,84.1,87.11,3723198
2016-02-29,85.15,86.19,85.09,86.01,3164397
2016-03-01,88.37,88.395,84.59,85.92,3604652
2016-03-02,88.39,88.55,87.26,88.12,2863529
2016-03-03,87.21,88.5,85.85,88.5,3082086
2016-03-04,86.18,87.9399,85.58,87.93,3002480
2016-03-07,85.11,85.96,84.05,85.58,3124542
2016-03-08,84.35,85.95,83.17,84.25,3245661
2016-03-09,85.27,85.29,83.25,84.88,2491523
2016-03-10,84.85,86.52,83.59,85.06,2969730
2016-03-11,86.0,86.23,84.63,85.2,3330376
2016-03-14,87.01,87.75,85.837,86.11,3754525
2016-03-15,86.83,87.19,86.22,86.4,2909597
2016-03-16,88.17,88.48,86.4,86.7,3383006
2016-03-17,89.96,90.21,87.25,88.66,6914582
2016-03-18,93.42,98.0,93.11,98.0,12530111
2016-03-21,92.5,93.27,91.33,92.69,4657275
2016-03-22,92.56,93.42,92.05,92.06,4475815
2016-03-23,92.16,92.935,91.93,92.62,2767607
2016-03-24,92.52,92.74,91.25,91.5,3266804
2016-03-25,92.52,92.52,92.52,92.52,0
2016-03-28,92.4,92.83,91.8975,92.68,2282982
2016-03-29,93.22,93.435,91.7601,91.79,4248811
