Date,Close,High,Low,Open,Volume
2016-01-01,276.57,276.57,276.57,276.57,0
2016-01-04,271.71,272.15,268.99,271.16,477420
2016-01-05,274.05,275.94,271.4,272.45,362952
2016-01-06,270.18,274.6,269.18,271.32,515086
2016-01-07,262.03,269.98,261.535,266.94,605062
2016-01-08,257.01,264.37,256.75,263.02,583652
2016-01-11,253.12,258.02,250.98,257.27,824913
2016-01-12,257.29,258.19,251.67,255.64,457562
2016-01-13,248.59,258.69,247.71,258.69,496056
2016-01-14,256.24,258.03,247.21,249.05,825013
2016-01-15,251.28,256.23,247.21,247.21,747696
2016-01-18,251.28,251.28,251.28,251.28,0
2016-01-19,251.97,257.05,248.49,255.21,777972
2016-01-20,246.97,249.085,237.1,247.22,719228
2016-01-21,248.81,252.96,245.71,247.01,509914
2016-01-22,249.22,254.41,247.7005,252.6,647036
2016-01-25,245.39,249.67,244.6,248.58,488555
2016-01-26,249.6,250.82,243.615,246.05,930892
2016-01-27,246.8,253.07,245.64,249.14,757750
2016-01-28,199.0,231.4,197.83,226.1,3380871
2016-01-29,199.79,215.79,199.09,199.55,2661791
2016-02-01,206.56,209.34,198.86,200.0,1502809
2016-02-02,194.29,203.83,192.78,203.73,1658117
2016-02-03,194.7,196.84,190.07,196.23,1429250
2016-02-04,197.41,198.96,192.0,193.48,1164254
2016-02-05,187.22,198.76,184.67,196.9,1844189
2016-02-08,183.74,185.06,180.41,181.44,1792249
2016-02-09,177.12,182.84,176.63,181.21,1685809
2016-02-10,182.1,185.41,178.35,178.94,967364
2016-02-11,180.45,182.91,177.26,178.22,777573
2016-02-12,182.65,184.73,181.33,183.13,674882
2016-02-15,182.65,182.65,182.65,182.65,0
2016-02-16,187.49,189.878,183.52,183.84,1145117
2016-02-17,192.41,194.39,187.815,188.85,789377
2016-02-18,197.43,201.63,195.0,195.05,863902
2016-02-19,204.36,204.49,195.0,197.34,1018872
2016-02-22,210.89,214.5,205.57,205.57,968709
2016-02-23,206.46,213.77,206.37,209.0,771288
2016-02-24,210.76,211.46,203.0,205.42,561988
2016-02-25,212.6,212.7,208.69,211.34,575592
2016-02-26,212.69,215.94,211.99,213.05,616017
2016-02-29,210.13,214.51,210.01,213.37,721835
2016-03-01,213.51,213.66,209.01,212.23,986286
2016-03-02,214.35,215.29,210.75,212.56,831361
2016-03-03,216.88,218.6899,213.709,215.22,596819
2016-03-04,216.22,218.85,214.65,218.14,641401
2016-03-07,219.96,220.31,214.42,214.42,900732
2016-03-08,212.64,219.73,212.29,218.27,789939
2016-03-09,213.19,213.95,209.89,213.95,645628
2016-03-10,208.06,214.69,206.73,213.26,760838
2016-03-11,211.6,211.87,208.0001,211.31,941025
2016-03-14,214.87,216.64,210.48,215.62,759370
2016-03-15,210.7,217.11,208.74,212.72,820978
2016-03-16,207.34,209.86,204.75,208.91,1226310
2016-03-17,205.56,208.88,204.86,207.99,1361733
2016-03-18,208.7,209.33,203.04,206.0,1763742
2016-03-21,210.3,212.01,207.32,209.08,629273
2016-03-22,210.32,210.62,207.43,208.7,657958
2016-03-23,209.8,213.095,209.45,210.56,601994
2016-03-24,211.77,212.35,207.11,209.42,550307
2016-03-25,211.77,211.77,211.77,211.77,0
2016-03-28,211.04,213.095,209.45,212.64,443217
2016-03-29,212.77,213.358,209.28,210.1,623825
2016-03-30,215.96,218.0,214.25,214.42,677566
2016-03-31,220.0,220.63,213.88,215.32,894808
2016-04-01,221.12,221.82,216.5,218.69,506963
2016-04-04,214.71,221.58,214.54,221.2,610732
2016-04-05,210.0,212.16,207.64,212.08,1002877
2016-04-06,214.46,214.66,209.28,210.98,644549
2016-04-07,212.43,216.0,210.58,212.23,812714
2016-04-08,215.27,215.78,212.5,213.43,634053
2016-04-11,206.7,216.42,206.39,215.3,836641
2016-04-12,204.4,209.16,199.78,207.05,1159976
2016-04-13,215.14,215.52,204.8401,206.16,950534
2016-04-14,214.48,216.51,212.3,213.5,888200
2016-04-15,214.77,215.94,213.715,215.11,447395
2016-04-18,215.0,215.58,212.65,213.5,593941
2016-04-19,211.62,216.4599,208.23,215.01,864858
2016-04-20,217.92,218.84,211.3,212.96,1205106
2016-04-21,202.6,205.87,197.96,202.09,2963091
2016-04-22,205.99,207.07,201.61,202.33,1212741
2016-04-25,203.9,205.3,202.545,204.66,806325
2016-04-26,201.68,204.24,201.02,202.49,668389
2016-04-27,202.92,203.78,200.75,201.18,1094410
2016-04-28,201.2,203.44,200.08,202.92,1265246
2016-04-29,203.31,203.65,200.14,200.95,775929
2016-05-02,202.82,204.49,201.04,203.64,671056
2016-05-03,201.1,202.3,200.42,201.81,784467
2016-05-04,200.75,201.15,199.06,200.0,973728
2016-05-05,200.24,202.52,199.96,201.0,634849
2016-05-06,203.86,204.04,199.78,199.87,756068
2016-05-09,203.3,204.35,202.41,203.92,714479
2016-05-10,204.39,206.71,203.56,203.56,484742
2016-05-11,204.6,206.11,203.0,204.26,962461
2016-05-12,202.08,205.53,200.37,205.1,1217332
2016-05-13,201.57,204.21,200.66,202.5,593210
2016-05-16,205.04,205.48,200.83,201.08,482149
2016-05-17,210.84,213.0,203.97,204.96,1131154
2016-05-18,212.63,214.7,208.647,210.84,893043
2016-05-19,205.44,211.518,205.21,211.02,885483
2016-05-20,206.41,207.29,205.24,206.7,538277
2016-05-23,205.28,207.067,203.64,205.54,427537
2016-05-24,209.68,209.95,206.04,206.18,311578
2016-05-25,212.84,213.79,210.1,210.1,530024
2016-05-26,212.05,214.115,210.23,212.66,422492
2016-05-27,215.06,216.86,211.5,211.98,418436
2016-05-30,215.06,215.06,215.06,215.06,0
2016-05-31,222.19,223.03,213.615,215.91,1102278
2016-06-01,222.62,223.71,218.92,221.7,595432
2016-06-02,224.49,224.82,221.02,222.46,704167
2016-06-03,223.6,224.39,221.05,223.48,536229
2016-06-06,226.45,227.337,221.39,223.61,370993
2016-06-07,225.61,226.75,223.75,226.6,378499
2016-06-08,223.79,227.0,222.52,225.73,482644
2016-06-09,222.61,224.24,222.05,223.42,436732
2016-06-10,215.6,221.3,214.855,220.73,666728
2016-06-13,212.93,218.15,212.82,215.21,601180
2016-06-14,208.98,211.0,203.22,210.49,1451428
2016-06-15,207.95,209.84,203.0003,208.98,921413
2016-06-16,206.55,207.742,201.9903,207.36,602005
2016-06-17,207.22,208.13,205.45,207.04,1237566
2016-06-20,200.8,210.45,200.38,210.02,1453687
2016-06-21,200.01,201.64,194.15,200.16,2060595
2016-06-22,200.0,201.58,199.33,199.71,802826
2016-06-23,201.61,202.41,200.69,201.46,549749
2016-06-24,193.14,197.47,192.0,192.71,1111654
2016-06-27,186.4,193.22,185.02,191.61,1777266
2016-06-28,187.46,189.76,186.57,187.96,1124111
2016-06-29,193.82,194.18,188.61,188.91,908486
2016-06-30,195.92,195.97,190.02,194.4,1079233
2016-07-01,195.8,197.11,194.28,196.01,690345
2016-07-04,195.8,195.8,195.8,195.8,0
2016-07-05,193.68,194.19,192.16,193.76,835481
2016-07-06,195.61,197.11,191.59,192.7,1137204
2016-07-07,197.23,199.91,195.41,195.68,968969
2016-07-08,200.96,203.13,198.83,199.29,882584
2016-07-11,210.39,217.2,207.05,207.3,1485627
2016-07-12,213.17,215.57,211.98,212.64,671256
2016-07-13,209.43,214.69,208.71,214.24,701603
2016-07-14,212.51,213.23,210.06,211.04,556442
2016-07-15,213.17,213.64,210.09,213.3,653667
2016-07-18,211.3,212.71,209.03,211.45,774212
2016-07-19,214.41,214.77,209.84,211.25,698411
2016-07-20,215.02,215.48,210.53,215.0,1077018
2016-07-21,228.85,239.719,219.7,229.01,1841065
2016-07-22,231.08,234.38,225.477,228.2,743812
2016-07-25,230.38,233.35,229.39,231.19,635639
2016-07-26,233.0,233.7,229.55,230.65,641863
2016-07-27,233.47,235.57,231.92,233.46,740239
2016-07-28,233.84,234.83,231.16,233.5,601789
2016-07-29,231.62,233.98,229.04,233.1,655201
2016-08-01,228.13,231.98,226.57,231.89,831406
2016-08-02,222.59,228.07,220.89,226.15,858837
2016-08-03,222.32,223.1,220.59,221.68,507695
2016-08-04,219.3,222.8339,216.6,221.97,676587
2016-08-05,222.37,225.26,221.1494,221.33,455000
2016-08-08,222.91,224.525,221.8401,222.79,460807
2016-08-09,220.4,223.905,219.06,222.91,370029
2016-08-10,218.74,221.76,217.03,221.76,348479
2016-08-11,219.94,221.72,218.65,219.1,332646
2016-08-12,219.03,220.81,217.42,218.67,369082
2016-08-15,215.07,217.1,212.05,216.85,877664
2016-08-16,211.85,215.62,210.42,213.71,552828
2016-08-17,203.71,209.0,200.785,208.7,1493990
2016-08-18,202.31,204.3,199.92,203.0,1594531
2016-08-19,200.14,200.95,193.67,200.95,3181848
2016-08-22,200.54,201.31,197.68,198.66,1058104
2016-08-23,201.53,201.99,199.48,201.6,836132
2016-08-24,198.22,201.75,197.7,201.31,831296
2016-08-25,200.36,201.98,199.02,199.4,678895
2016-08-26,198.65,202.04,196.4,200.19,852131
2016-08-29,198.81,200.55,197.51,199.13,446163
2016-08-30,200.7,200.85,197.92,199.18,612713
2016-08-31,204.58,204.94,199.09,199.96,889543
2016-09-01,210.19,210.19,203.2,204.64,1366130
2016-09-02,209.9,213.76,208.32,210.96,588816
2016-09-05,209.9,209.9,209.9,209.9,0
2016-09-06,213.08,214.09,209.49,210.0,847848
2016-09-07,215.7,216.08,212.37,212.83,710358
2016-09-08,217.26,219.22,214.76,215.34,763921
2016-09-09,208.66,215.89,208.62,214.49,730117
2016-09-12,216.49,217.34,206.8301,207.27,884327
2016-09-13,213.41,219.985,211.92,215.98,891222
2016-09-14,213.21,216.72,212.18,213.52,554234
2016-09-15,215.4,216.85,211.52,212.36,500943
2016-09-16,214.48,215.44,211.67,213.79,633715
2016-09-19,216.04,218.64,215.2044,215.76,414527
2016-09-20,213.74,217.7195,211.85,216.86,593980
2016-09-21,215.63,216.86,213.021,215.04,471862
2016-09-22,218.06,218.602,215.26,216.26,438741
2016-09-23,216.99,218.49,216.036,216.28,306368
2016-09-26,211.44,213.37,208.82,213.37,748729
2016-09-27,213.47,214.61,210.1,212.05,485538
2016-09-28,214.21,216.07,212.75,213.09,623784
2016-09-29,212.95,216.07,212.15,213.78,523035
2016-09-30,214.53,215.89,210.86,213.0,659867
2016-10-03,216.9,219.16,213.5,214.53,531572
2016-10-04,212.71,218.83,211.85,217.62,458561
2016-10-05,216.28,217.34,213.14,214.56,453157
2016-10-06,214.05,215.68,212.16,215.12,419566
2016-10-07,208.93,214.95,207.94,214.75,610399
2016-10-10,208.78,212.03,208.21,209.33,489025
2016-10-11,208.25,209.965,205.735,209.18,483390
2016-10-12,208.27,209.88,207.49,209.13,340379
2016-10-13,206.84,207.97,204.5942,206.96,332844
2016-10-14,209.77,210.335,206.5,208.16,436529
2016-10-17,206.45,213.37,206.22,210.8,506804
2016-10-18,211.07,211.64,206.825,207.11,461167
2016-10-19,214.78,215.61,211.01,212.45,802718
