Date,Close,High,Low,Open,Volume
2016-01-01,9.57,9.57,9.57,9.57,0
2016-01-04,9.43,9.4772,9.22,9.44,4813485
2016-01-05,9.56,9.59,9.28,9.47,4393783
2016-01-06,9.23,9.48,9.2,9.4,4588059
2016-01-07,9.0,9.195,8.99,9.09,7402894
2016-01-08,9.13,9.2,8.78,9.01,8175649
2016-01-11,9.03,9.22,8.805,9.12,7406266
2016-01-12,8.75,9.11,8.68,9.1,6157714
2016-01-13,8.64,9.08,8.57,8.8,8486911
2016-01-14,8.85,8.89,8.51,8.66,10537983
2016-01-15,8.54,8.65,8.32,8.63,8596063
2016-01-18,8.54,8.54,8.54,8.54,0
2016-01-19,8.72,8.825,8.43,8.64,8836748
2016-01-20,8.62,8.7,8.22,8.6,9920310
2016-01-21,9.11,9.27,8.59,8.64,10492279
2016-01-22,9.17,9.39,9.075,9.28,5393892
2016-01-25,8.74,9.19,8.74,9.13,7285307
2016-01-26,9.04,9.1,8.77,8.81,4371986
2016-01-27,9.08,9.21,8.96,9.04,4713809
2016-01-28,9.16,9.34,9.0915,9.22,5352185
2016-01-29,9.5,9.51,9.11,9.12,11456204
2016-02-01,9.46,9.54,9.3,9.47,6064578
2016-02-02,9.29,9.49,9.27,9.36,7765226
2016-02-03,9.75,9.79,9.36,9.41,9212117
2016-02-04,9.8,10.11,9.7,9.7,8354671
2016-02-05,9.75,9.97,9.54,9.54,8137672
2016-02-08,9.44,9.71,9.32,9.68,6015280
2016-02-09,9.51,9.64,9.2,9.33,5530347
2016-02-10,9.53,9.62,9.25,9.5,4248745
2016-02-11,9.0,9.4,8.97,9.38,8645875
2016-02-12,9.17,9.19,8.88,9.01,6144559
2016-02-15,9.17,9.17,9.17,9.17,0
2016-02-16,9.38,9.46,9.2,9.28,4704563
2016-02-17,9.62,9.74,9.375,9.44,6398113
2016-02-18,9.7,9.76,9.5,9.64,4311130
2016-02-19,9.41,9.64,9.34,9.64,4271050
2016-02-22,9.79,9.8,9.53,9.66,4768212
2016-02-23,9.58,9.785,9.51,9.71,4174304
2016-02-24,10.03,10.14,9.32,9.5,7188977
2016-02-25,9.97,10.08,9.52,10.03,6824333
2016-02-26,9.87,10.14,9.8,10.01,4623544
2016-02-29,9.8,9.965,9.78,9.85,4280485
2016-03-01,10.12,10.17,9.76,9.83,5069608
2016-03-02,10.28,10.29,9.94,10.06,4193632
2016-03-03,10.45,10.46,10.09,10.29,4893363
2016-03-04,10.79,10.82,10.27,10.43,6368493
2016-03-07,10.89,10.99,10.68,10.74,6156045
2016-03-08,10.62,10.87,10.58,10.85,6293471
2016-03-09,10.5,10.79,10.47,10.69,9489468
2016-03-10,10.81,10.81,10.43,10.5,4153639
2016-03-11,10.91,11.01,10.83,10.94,4683320
2016-03-14,10.96,11.01,10.81,10.87,4161988
2016-03-15,10.97,11.0,10.85,10.89,6634454
2016-03-16,11.39,11.41,10.91,10.93,8630453
2016-03-17,11.53,11.57,11.28,11.37,6899458
2016-03-18,11.62,11.7,11.53,11.53,8059793
2016-03-21,11.54,11.64,11.51,11.6,6269886
2016-03-22,11.54,11.65,11.4,11.5,6774410
2016-03-23,11.3,11.58,11.28,11.58,5362002
2016-03-24,11.57,11.58,11.16,11.24,7712164
2016-03-25,11.57,11.57,11.57,11.57,0
2016-03-28,11.41,11.63,11.41,11.61,6334973
2016-03-29,11.65,11.66,11.345,11.385,4601048
2016-03-30,11.62,11.78,11.6,11.73,3254503
2016-03-31,11.8,11.8,11.57,11.62,5656000
2016-04-01,11.57,11.685,11.41,11.68,8260718
2016-04-04,11.36,11.655,11.31,11.56,5432728
2016-04-05,11.07,11.32,11.06,11.27,9099741
2016-04-06,11.08,11.12,10.94,11.07,6786503
2016-04-07,10.86,11.165,10.79,10.97,7210535
2016-04-08,10.96,11.155,10.91,10.91,4505443
2016-04-11,11.02,11.14,10.96,11.01,4628527
2016-04-12,11.16,11.19,11.005,11.06,3976280
2016-04-13,11.23,11.29,11.1,11.22,4542875
2016-04-14,11.24,11.34,11.195,11.22,2510960
2016-04-15,11.25,11.33,11.21,11.23,3402270
2016-04-18,11.31,11.36,11.06,11.18,3226833
2016-04-19,11.5,11.54,11.36,11.37,3985255
2016-04-20,11.27,11.53,11.25,11.5,2991370
2016-04-21,11.11,11.335,11.06,11.27,3405591
2016-04-22,11.18,11.305,11.07,11.15,2706852
2016-04-25,11.0,11.205,10.99,11.17,3371969
2016-04-26,11.21,11.21,11.02,11.02,3576917
2016-04-27,11.38,11.48,11.13,11.24,3914830
2016-04-28,11.12,11.31,11.06,11.2,4888655
2016-04-29,11.16,11.17,10.92,11.12,4692204
2016-05-02,11.3,11.37,11.12,11.15,3722711
2016-05-03,11.13,11.24,10.95,11.2,4572123
2016-05-04,11.16,11.22,11.03,11.08,4180296
2016-05-05,11.07,11.27,11.005,11.24,3350183
2016-05-06,11.08,11.11,10.95,11.03,3152926
2016-05-09,11.16,11.24,10.8,10.95,4775367
2016-05-10,11.45,11.49,11.13,11.2,3476509
2016-05-11,11.32,11.47,11.24,11.41,4283656
2016-05-12,11.27,11.44,11.21,11.39,3482296
2016-05-13,11.16,11.255,11.07,11.23,3384764
2016-05-16,11.11,11.24,11.1,11.18,3072802
2016-05-17,11.02,11.15,10.94,11.08,3695598
2016-05-18,10.73,11.075,10.675,10.97,4433992
2016-05-19,10.74,10.77,10.49,10.65,7749561
2016-05-20,10.89,10.9,10.73,10.76,2864840
2016-05-23,10.74,10.89,10.73,10.86,2852103
2016-05-24,10.91,10.94,10.76,10.82,3485841
2016-05-25,10.97,11.07,10.82,10.89,3651832
2016-05-26,10.89,11.033,10.88,10.99,4934040
2016-05-27,11.11,11.13,10.89,10.9,3014315
2016-05-30,11.11,11.11,11.11,11.11,0
2016-05-31,11.09,11.23,10.99,11.12,6156066
2016-06-01,10.94,11.07,10.91,11.04,4592183
2016-06-02,10.84,11.01,10.79,10.9,5454815
2016-06-03,11.22,11.3,10.86,10.93,7127757
2016-06-06,11.39,11.44,11.22,11.24,3685267
2016-06-07,11.51,11.545,11.36,11.39,4208679
2016-06-08,11.43,11.55,11.38,11.55,4651352
2016-06-09,11.44,11.46,11.22,11.37,3313949
2016-06-10,11.2,11.39,11.16,11.31,4540175
2016-06-13,11.17,11.23,11.12,11.17,3823114
2016-06-14,11.12,11.165,11.01,11.14,3944262
2016-06-15,11.06,11.21,11.02,11.12,4433154
2016-06-16,11.26,11.27,10.91,11.0,4554041
2016-06-17,11.61,11.62,11.27,11.29,7971165
2016-06-20,11.85,11.91,11.68,11.71,7611348
2016-06-21,12.01,12.08,11.785,11.87,6218865
2016-06-22,11.99,12.06,11.935,12.03,5205833
2016-06-23,12.1,12.14,12.01,12.07,3924907
2016-06-24,11.89,12.0,11.63,11.85,8944269
2016-06-27,11.41,11.74,11.29,11.73,10530472
2016-06-28,11.79,11.8,11.32,11.49,8064499
2016-06-29,12.03,12.09,11.85,11.9,6747173
2016-06-30,12.48,12.48,12.0,12.08,10360981
2016-07-01,12.33,12.53,12.25,12.48,4320921
2016-07-04,12.33,12.33,12.33,12.33,0
2016-07-05,12.2,12.29,12.05,12.25,5444374
2016-07-06,12.23,12.25,12.025,12.13,4760601
2016-07-07,12.1,12.26,12.0,12.21,4849624
2016-07-08,12.32,12.32,12.03,12.15,4182449
2016-07-11,12.55,12.56,12.24,12.32,3808214
2016-07-12,12.48,12.679,12.47,12.57,3396785
2016-07-13,12.63,12.64,12.4,12.57,5046495
2016-07-14,12.52,12.68,12.44,12.64,2987457
2016-07-15,12.63,12.675,12.52,12.55,3749596
2016-07-18,12.57,12.63,12.51,12.63,2273702
2016-07-19,12.51,12.52,12.35,12.5,3343406
2016-07-20,12.56,12.58,12.39,12.5,3038502
2016-07-21,12.59,12.61,12.47,12.55,3563489
2016-07-22,12.65,12.68,12.52,12.58,2738356
2016-07-25,12.67,12.72,12.605,12.64,3189091
2016-07-26,12.61,12.68,12.535,12.66,3532385
2016-07-27,12.37,12.66,12.26,12.62,4206968
2016-07-28,12.25,12.3,12.1,12.24,2243981
2016-07-29,12.35,12.4,12.13,12.22,5621382
2016-08-01,12.17,12.37,12.13,12.33,4826519
2016-08-02,12.18,12.23,12.07,12.14,4365379
2016-08-03,12.4,12.59,12.14,12.21,4452692
2016-08-04,12.41,12.44,12.21,12.38,3850873
2016-08-05,12.23,12.52,12.1,12.44,6722797
2016-08-08,12.18,12.32,12.14,12.28,3218185
2016-08-09,12.07,12.25,12.03,12.18,3806025
2016-08-10,12.18,12.19,12.05,12.05,3237256
2016-08-11,12.24,12.24,12.11,12.19,3343717
2016-08-12,12.22,12.37,12.2,12.24,3451913
2016-08-15,12.09,12.33,12.09,12.24,3011722
2016-08-16,12.0,12.08,11.95,12.01,5935006
2016-08-17,12.28,12.31,11.89,12.0,6745135
2016-08-18,12.5,12.5,12.24,12.27,5215520
2016-08-19,12.22,12.41,12.16,12.4,4115603
2016-08-22,12.29,12.32,12.16,12.22,2751051
2016-08-23,12.18,12.4,12.17,12.35,4733308
2016-08-24,12.08,12.18,12.04,12.17,2799586
2016-08-25,12.11,12.16,12.02,12.09,2631868
2016-08-26,12.02,12.31,11.96,12.16,5161332
2016-08-29,12.15,12.225,12.02,12.07,2851358
2016-08-30,12.02,12.175,11.985,12.16,3245651
2016-08-31,12.07,12.08,11.92,12.0,6618523
2016-09-01,12.01,12.09,11.845,12.07,5600329
2016-09-02,12.23,12.26,12.04,12.04,3538952
2016-09-05,12.23,12.23,12.23,12.23,0
2016-09-06,12.84,12.85,12.25,12.3,7370491
2016-09-07,13.03,13.08,12.8,12.85,8097151
2016-09-08,12.95,13.03,12.875,13.0,6269937
2016-09-09,12.33,12.82,12.32,12.79,4979773
2016-09-12,12.59,12.65,12.24,12.28,6041463
2016-09-13,12.39,12.54,12.3,12.49,5888257
2016-09-14,12.32,12.575,12.26,12.42,5306128
2016-09-15,12.55,12.62,12.22,12.27,5541724
2016-09-16,12.54,12.57,12.35,12.48,5634683
2016-09-19,12.7,12.73,12.52,12.59,3410750
2016-09-20,12.78,12.84,12.67,12.74,4173307
2016-09-21,13.1,13.11,12.775,12.81,5100929
2016-09-22,13.19,13.22,13.0,13.17,3388915
2016-09-23,13.26,13.32,13.095,13.13,3955833
2016-09-26,13.12,13.27,13.1,13.23,2636128
2016-09-27,13.08,13.14,12.87,13.1,4674105
2016-09-28,13.15,13.165,12.96,13.13,5722533
2016-09-29,12.9,13.14,12.8,13.14,6109405
2016-09-30,12.85,13.005,12.82,12.91,5867949
2016-10-03,12.47,12.75,12.21,12.64,8951245
2016-10-04,11.95,12.38,11.87,12.38,9760238
2016-10-05,11.86,12.06,11.77,12.0,14013528
2016-10-06,11.66,11.83,11.6,11.79,8281936
2016-10-07,11.59,11.83,11.58,11.73,6837857
2016-10-10,11.67,11.765,11.61,11.67,4412851
2016-10-11,11.52,11.65,11.45,11.62,4010074
2016-10-12,11.67,11.72,11.5,11.54,5039778
2016-10-13,11.73,11.85,11.51,11.61,5451984
2016-10-14,11.57,11.88,11.55,11.72,5647506
2016-10-17,11.71,11.73,11.6,11.6,6197650
2016-10-18,11.87,11.9485,11.74,11.85,5544302
2016-10-19,12.12,12.16,11.88,11.9,5087998
2016-10-20,12.05,12.255,12.04,12.15,4042413
2016-10-21,12.02,12.075,11.87,11.94,4317496
2016-10-24,12.05,12.14,11.965,12.11,3445779
2016-10-25,12.02,12.08,11.91,12.01,3173319
2016-10-26,12.0,12.04,11.88,11.98,3757924
2016-10-27,11.82,12.05,11.76,12.0,4578720
2016-10-28,11.65,11.82,11.59,11.72,6259477
2016-10-31,11.77,11.925,11.685,11.7,5699894
2016-11-01,11.65,11.81,11.595,11.77,5119969
2016-11-02,11.46,11.59,11.25,11.59,9286360
2016-11-03,11.75,11.84,11.44,11.46,6656169
2016-11-04,12.11,12.47,11.25,11.52,10314545
2016-11-07,12.41,12.43,12.21,12.27,6915229
2016-11-08,12.43,12.475,12.29,12.44,4825106
2016-11-09,12.01,12.3,11.91,12.3,6599042
2016-11-10,11.47,12.02,11.41,11.98,6489283
2016-11-11,11.26,11.57,11.13,11.53,5538869
2016-11-14,11.22,11.25,11.08,11.19,10628501
2016-11-15,11.54,11.56,11.2698,11.27,6126392
2016-11-16,11.35,11.53,11.25,11.5,4207765
2016-11-17,11.43,11.51,11.31,11.35,3140333
2016-11-18,11.4,11.67,11.38,11.42,6746816
2016-11-21,11.55,11.62,11.37,11.45,4347679
2016-11-22,11.41,11.5,11.32,11.42,5732295
2016-11-23,11.34,11.44,11.25,11.29,5093548
2016-11-24,11.34,11.34,11.34,11.34,0
2016-11-25,11.63,11.64,11.34,11.34,2851423
2016-11-28,11.94,11.97,11.72,11.72,5435373
2016-11-29,11.88,12.01,11.845,11.88,6530491
2016-11-30,11.45,11.79,11.45,11.73,5507069
2016-12-01,11.03,11.46,10.98,11.36,5480033
2016-12-02,11.18,11.3,11.06,11.09,5521035
2016-12-05,11.34,11.39,11.07,11.16,6499240
2016-12-06,11.33,11.455,11.3,11.39,4712436
2016-12-07,11.62,11.64,11.35,11.39,5863292
2016-12-08,11.84,11.92,11.51,11.57,4463478
2016-12-09,11.92,11.96,11.7,11.85,4492687
2016-12-12,12.01,12.04,11.85,11.88,4653198
2016-12-13,12.19,12.22,12.06,12.09,5258424
2016-12-14,11.94,12.47,11.92,12.27,6920759
2016-12-15,11.8,11.94,11.73,11.88,4545156
2016-12-16,11.75,11.92,11.66,11.81,10487547
2016-12-19,11.84,11.94,11.68,11.84,5199588
2016-12-20,11.94,12.01,11.82,11.83,3419844
2016-12-21,11.98,12.1,11.91,11.94,4125624
2016-12-22,11.78,11.97,11.76,11.9,3311062
2016-12-23,11.73,11.84,11.68,11.83,3593095
2016-12-26,11.73,11.73,11.73,11.73,0
