Date,Close,High,Low,Open,Volume
2016-01-01,312.5,312.5,312.5,312.5,0
2016-01-04,307.47,309.98,305.1,306.5,3479796
2016-01-05,308.73,310.83,306.89,307.89,2187588
2016-01-06,303.45,307.4099,302.02,304.83,3025583
2016-01-07,303.15,306.06,299.06,299.84,3019470
2016-01-08,299.46,305.94,298.44,304.19,2494491
2016-01-11,299.37,300.5,293.695,300.22,2835463
2016-01-12,296.03,302.37,293.47,301.36,2466130
2016-01-13,287.33,299.53,282.65,297.64,3673550
2016-01-14,299.12,300.57,286.01,286.64,3155802
2016-01-15,295.24,296.11,289.07,290.74,3492799
2016-01-18,295.24,295.24,295.24,295.24,0
2016-01-19,291.79,300.78,288.85,297.3,2893145
2016-01-20,292.94,298.77,283.01,286.39,3017526
2016-01-21,295.79,301.41,292.03,294.57,2398109
2016-01-22,298.04,301.98,295.315,300.95,2089645
2016-01-25,295.95,298.97,293.02,297.87,2159069
2016-01-26,294.6,297.37,292.66,296.19,1862389
2016-01-27,290.02,295.98,288.29,293.75,2037899
2016-01-28,281.76,291.74,278.35,291.1,3790303
2016-01-29,284.43,286.95,278.91,286.36,3676748
2016-02-01,282.7,284.51,277.87,283.4,2247709
2016-02-02,279.68,284.96,278.05,278.09,2006341
2016-02-03,278.39,282.9,274.53,282.0,2310054
2016-02-04,272.45,276.93,267.45,275.81,3788559
2016-02-05,273.8,277.68,270.52,270.83,2386545
2016-02-08,266.3,272.66,261.6,270.6,3284019
2016-02-09,272.34,274.96,262.48,263.08,2832764
2016-02-10,279.77,282.32,274.05,274.05,2993065
2016-02-11,274.55,277.45,271.8285,272.56,2301754
2016-02-12,280.48,280.48,272.23,277.3,2726878
2016-02-15,280.48,280.48,280.48,280.48,0
2016-02-16,284.45,285.0,279.25,283.42,2067673
2016-02-17,283.2,288.58,282.79,287.0,2814144
2016-02-18,277.98,285.29,276.71,280.58,2507444
2016-02-19,275.75,279.75,273.22,278.7,3450148
2016-02-22,285.82,286.69,279.56,279.56,2841510
2016-02-23,286.78,288.84,283.71,285.99,2354802
2016-02-24,284.7,286.57,281.8921,285.48,2392058
2016-02-25,296.34,297.18,285.03,285.42,3862268
2016-02-26,298.07,301.32,296.14,298.99,3400764
2016-02-29,290.11,297.8,290.05,296.25,2427146
