Date,Close,High,Low,Open,Volume
2016-01-01,52.63,52.63,52.63,52.63,0
2016-01-04,52.31,52.32,50.91,51.8,4341097
2016-01-05,52.02,52.65,51.93,52.38,1505033
2016-01-06,50.48,51.76,50.38,51.0,2588749
2016-01-07,48.19,50.7,48.16,49.34,4029624
2016-01-08,48.1,49.18,48.05,48.51,4122741
2016-01-11,45.46,48.87,44.93,48.27,6487045
2016-01-12,46.88,48.19,46.01,46.01,6203449
2016-01-13,45.82,47.69,45.75,47.14,4134906
2016-01-14,46.91,47.26,45.1,45.98,2974796
2016-01-15,44.15,45.91,43.93,45.33,3836083
2016-01-18,44.15,44.15,44.15,44.15,0
2016-01-19,45.44,45.64,43.75,44.82,3590128
2016-01-20,46.11,46.75,43.75,44.79,3493890
2016-01-21,46.21,47.82,45.8,46.33,3350361
2016-01-22,46.91,47.89,46.52,46.97,1984684
2016-01-25,45.7,46.9,45.64,46.81,1413870
2016-01-26,46.2,46.42,45.26,45.86,2256567
2016-01-27,44.35,46.44,44.15,45.7,2082825
2016-01-28,43.47,45.21,43.28,44.85,2726349
2016-01-29,45.62,45.63,43.53,43.79,2278158
2016-02-01,45.3,45.54,44.31,45.5,2765770
2016-02-02,42.94,44.96,42.68,44.96,2789195
2016-02-03,44.39,44.81,42.96,43.25,3792873
2016-02-04,44.64,45.275,43.87,44.41,2402873
2016-02-05,43.2,44.19,42.88,44.15,2629279
2016-02-08,40.98,43.0,40.22,42.51,3280033
2016-02-09,39.57,41.53,39.43,40.59,6686739
2016-02-10,47.96,49.28,44.68,46.99,14254350
2016-02-11,49.14,49.44,46.5,47.13,5810001
2016-02-12,50.76,50.9,49.28,49.57,4037236
2016-02-15,50.76,50.76,50.76,50.76,0
2016-02-16,52.55,53.15,50.47,51.27,5450184
2016-02-17,53.42,54.0,52.85,53.18,3354969
2016-02-18,53.28,54.83,53.07,54.83,3447949
2016-02-19,53.13,53.14,52.0,52.9,3426734
2016-02-22,54.48,55.6,53.39,53.63,3963500
2016-02-23,53.97,54.76,53.58,54.07,3878854
2016-02-24,54.78,54.97,53.015,53.59,2165272
2016-02-25,54.96,55.0,54.15,54.92,2554557
2016-02-26,55.24,55.55,54.6,55.35,3038186
2016-02-29,53.97,55.54,53.97,55.29,4323435
2016-03-01,55.53,55.57,54.0,54.37,3930484
2016-03-02,56.21,56.31,55.0401,55.4,2425746
2016-03-03,55.64,55.892,55.2,55.83,2524406
2016-03-04,55.57,55.98,55.03,55.65,2835654
2016-03-07,55.33,55.98,54.92,55.0,2950542
2016-03-08,54.58,55.15,54.15,54.94,2916906
2016-03-09,55.19,55.49,54.29,54.99,1595568
2016-03-10,54.64,55.43,53.9,55.24,3072663
2016-03-11,56.07,56.29,55.18,55.26,1264383
2016-03-14,55.28,55.83,55.08,55.75,1896623
2016-03-15,54.67,55.09,54.34,54.89,1844906
2016-03-16,55.81,56.0923,54.19,54.29,1610726
2016-03-17,56.06,56.08,55.275,55.48,1688384
2016-03-18,55.95,57.05,55.69,56.5,2417964
2016-03-21,56.29,56.36,55.685,55.85,1071877
2016-03-22,56.74,57.0,55.81,55.98,1193505
2016-03-23,55.12,56.67,54.95,56.67,1697920
2016-03-24,54.84,55.13,54.391,54.65,1940498
2016-03-25,54.84,54.84,54.84,54.84,0
2016-03-28,54.93,55.31,54.57,55.1,1289600
2016-03-29,55.26,55.54,54.02,54.65,1159516
2016-03-30,55.1,55.801,54.79,55.74,1540116
2016-03-31,55.57,55.73,54.7,55.06,1643033
2016-04-01,55.22,55.31,54.244,55.14,1671775
2016-04-04,55.33,55.84,54.76,55.17,1034095
2016-04-05,53.14,54.32,52.76,54.19,2116879
2016-04-06,54.78,54.8,53.08,53.08,1672620
2016-04-07,53.28,55.0,53.0,54.5,1754484
2016-04-08,52.38,53.95,52.2,53.59,1863545
2016-04-11,51.06,52.985,51.01,52.69,2409524
2016-04-12,50.54,51.61,49.8001,51.18,3063091
2016-04-13,51.79,51.97,50.6101,50.76,1600034
2016-04-14,51.67,52.34,51.13,51.53,1273999
2016-04-15,50.93,51.91,50.77,51.58,1985923
2016-04-18,51.75,51.98,49.87,50.54,2296226
2016-04-19,51.35,52.25,50.76,51.93,1845430
2016-04-20,51.27,51.66,50.0,51.35,2125182
2016-04-21,51.36,51.71,51.03,51.36,1319306
2016-04-22,51.13,51.81,50.64,51.26,2987927
2016-04-25,51.09,51.11,50.5604,51.0,1617719
2016-04-26,52.66,52.84,50.827,50.93,3781214
