Date,Close,High,Low,Open,Volume
2016-01-01,56.01,56.01,56.01,56.01,0
2016-01-04,55.55,55.69,54.27,54.97,1284666
2016-01-05,54.7,56.1,53.88,55.86,1232134
2016-01-06,52.31,54.25,51.84,53.47,1239999
2016-01-07,49.95,51.7,49.48,51.26,1520951
2016-01-08,49.01,51.08,48.97,50.45,1127383
2016-01-11,48.04,49.53,47.38,49.24,1313184
2016-01-12,48.95,49.18,48.05,48.79,1299073
2016-01-13,47.71,51.27,47.305,49.62,1463343
2016-01-14,48.9,49.65,46.84,48.03,1303152
2016-01-15,47.91,48.02,45.78,47.64,1446852
2016-01-18,47.91,47.91,47.91,47.91,0
2016-01-19,48.42,49.5,47.57,48.48,1699817
2016-01-20,48.01,48.79,46.16,47.56,1356484
2016-01-21,49.43,50.74,47.42,47.99,1844342
2016-01-22,51.29,52.27,50.65,50.66,1533257
2016-01-25,49.98,51.25,49.7,51.09,1634121
2016-01-26,51.88,52.47,50.08,50.37,1524251
2016-01-27,50.93,52.26,50.44,51.55,1430109
2016-01-28,51.76,52.52,51.28,51.65,1176720
2016-01-29,52.64,52.66,51.15,51.79,2887743
2016-02-01,52.82,52.95,50.97,51.87,1463801
2016-02-02,51.86,53.02,51.35,52.17,1279462
2016-02-03,53.52,53.62,51.16,52.66,1447674
2016-02-04,51.95,54.255,51.23,53.64,2213785
2016-02-05,51.54,52.7,50.72,51.38,1380315
2016-02-08,48.79,50.91,47.49,50.91,1940734
2016-02-09,49.89,50.025,48.08,48.22,1709354
2016-02-10,50.09,51.05,49.41,50.6,1101431
2016-02-11,50.09,50.83,48.42,48.78,1185991
2016-02-12,51.38,52.02,50.04,50.68,1183953
2016-02-15,51.38,51.38,51.38,51.38,0
2016-02-16,52.32,52.62,51.05,52.19,1652004
2016-02-17,52.77,54.25,52.51,52.94,1782805
2016-02-18,54.53,55.595,50.95,51.34,3044545
2016-02-19,54.48,54.54,53.27,54.42,1036929
2016-02-22,54.83,55.49,54.65,54.84,1382581
2016-02-23,52.66,55.59,52.51,54.47,1223886
2016-02-24,53.31,53.36,51.03,51.97,971000
2016-02-25,55.44,55.46,53.26,53.6,832996
2016-02-26,56.56,56.86,55.55,55.94,884999
2016-02-29,56.22,57.95,56.11,56.6,1447686
2016-03-01,58.66,58.86,57.0,57.12,1483948
2016-03-02,57.71,59.42,57.37,58.26,1144861
2016-03-03,57.22,57.89,56.03,57.48,1257771
2016-03-04,59.17,59.88,57.35,57.52,1394242
2016-03-07,58.8,59.97,57.92,59.02,1807980
2016-03-08,58.48,59.13,58.05,58.33,1502484
2016-03-09,60.24,60.34,58.6,58.8,1418117
2016-03-10,59.38,60.54,58.93,59.89,1365227
2016-03-11,61.24,61.9,59.4503,59.79,1109494
2016-03-14,60.02,60.96,59.73,60.38,1350693
2016-03-15,59.19,60.04,58.84,59.34,1318408
2016-03-16,61.62,61.69,59.1,59.1,1461266
2016-03-17,62.43,62.87,60.76,61.47,1335412
2016-03-18,61.38,62.75,60.7,62.36,1907553
2016-03-21,61.64,61.929,60.95,61.38,1155246
2016-03-22,62.16,62.56,61.19,61.36,1225732
2016-03-23,61.39,62.19,61.26,61.95,1055188
2016-03-24,61.92,62.085,60.34,60.67,711052
2016-03-25,61.92,61.92,61.92,61.92,0
2016-03-28,62.12,62.26,61.52,61.99,811791
2016-03-29,62.96,63.0,61.51,62.09,797954
2016-03-30,63.99,64.25,62.91,63.29,1074172
2016-03-31,63.93,64.33,63.65,63.88,1224793
2016-04-01,65.2,65.5,63.396,63.44,2455911
2016-04-04,65.33,65.9,64.99,65.38,1470131
2016-04-05,64.5,65.48,64.06,64.62,822602
2016-04-06,66.03,66.075,63.73,64.43,1237245
2016-04-07,64.69,66.93,64.24,65.9,1328200
2016-04-08,64.85,65.72,64.46,65.64,1559643
2016-04-11,65.25,65.94,65.04,65.13,1118501
2016-04-12,65.3,65.85,65.26,65.58,1070043
2016-04-13,65.0,66.32,64.43,65.8,2325275
2016-04-14,65.45,65.89,64.89,65.24,1849733
2016-04-15,65.37,65.85,65.04,65.74,1499181
2016-04-18,65.49,65.55,64.75,64.89,939645
2016-04-19,65.34,65.85,64.6,65.85,1958164
2016-04-20,65.65,65.76,64.5,65.23,1519109
2016-04-21,65.64,65.99,65.5301,65.65,1288338
2016-04-22,66.24,66.71,65.66,65.66,1269467
2016-04-25,66.59,66.87,66.15,66.37,1004911
2016-04-26,67.76,67.95,66.78,66.97,1231918
2016-04-27,67.86,68.75,67.28,67.67,817423
2016-04-28,66.42,67.65,66.15,67.47,649532
2016-04-29,66.16,66.45,65.57,66.45,1069378
2016-05-02,67.9,68.36,66.18,66.42,1177211
2016-05-03,67.33,68.09,66.83,67.56,872540
2016-05-04,66.59,67.57,66.36,66.99,788408
2016-05-05,67.1,68.13,66.78,66.78,1051721
2016-05-06,68.63,69.07,66.67,66.97,1424514
2016-05-09,67.28,70.22,67.07,68.37,1779318
2016-05-10,67.86,68.41,67.06,67.38,1516008
2016-05-11,74.65,75.75,70.67,70.76,5794550
2016-05-12,75.87,76.43,74.76,75.61,2190989
2016-05-13,76.16,76.33,74.35,75.59,2189207
2016-05-16,77.81,78.4,76.75,76.82,1842477
2016-05-17,76.17,78.26,75.95,77.82,1830342
2016-05-18,76.17,77.25,75.77,75.83,1598910
2016-05-19,75.77,76.67,75.0,75.69,1619735
2016-05-20,76.36,77.38,76.12,76.42,1246737
2016-05-23,76.37,76.75,75.86,75.86,1177948
2016-05-24,76.34,77.48,76.31,76.89,1827404
2016-05-25,78.87,79.0399,76.39,76.9,1200153
2016-05-26,79.04,79.73,78.15,79.27,1216755
2016-05-27,80.09,80.21,78.805,79.0,1091658
2016-05-30,80.09,80.09,80.09,80.09,0
2016-05-31,78.5,80.07,78.01,80.0,1486295
2016-06-01,79.68,80.0,77.53,78.5,1293170
2016-06-02,79.84,79.95,79.12,79.13,629910
2016-06-03,80.0,80.347,79.15,80.0,855054
2016-06-06,80.96,82.16,80.1,80.48,1048046
2016-06-07,81.29,81.82,80.8,81.39,853767
2016-06-08,81.21,82.37,80.82,81.61,1524294
2016-06-09,80.26,81.0203,79.83,80.64,1124586
2016-06-10,79.83,80.42,79.25,80.0,1024748
2016-06-13,78.15,79.7699,78.11,79.36,1117118
2016-06-14,78.4,78.48,77.02,78.0,1162938
2016-06-15,79.71,80.05,78.42,78.58,1434142
2016-06-16,79.99,80.05,78.91,79.31,909058
2016-06-17,82.8,84.99,82.21,83.19,3531123
2016-06-20,83.01,83.98,82.66,83.51,1736873
2016-06-21,83.62,83.84,82.0,82.95,1204115
2016-06-22,83.32,83.87,82.81,83.62,1014086
2016-06-23,84.4,84.71,83.7889,83.95,798769
2016-06-24,78.98,82.46,78.6,81.27,2465265
2016-06-27,75.34,78.09,74.86,77.44,2711001
2016-06-28,78.29,78.49,76.14,76.81,2707321
2016-06-29,79.12,79.85,78.59,79.46,1928740
2016-06-30,79.31,80.5,77.92,79.13,24895474
