Date,Close,High,Low,Open,Volume
2016-01-01,65.85,65.85,65.85,65.85,0
2016-01-04,64.27,65.0,63.43,64.99,987310
2016-01-05,64.95,67.0,64.64,64.64,746616
2016-01-06,64.87,65.82,64.03,64.11,877822
2016-01-07,63.5,64.89,62.905,63.53,769361
2016-01-08,64.53,66.1,63.94,64.38,916004
2016-01-11,61.0,64.95,60.44,64.78,884991
2016-01-12,61.77,62.21,60.61,61.0,383561
2016-01-13,58.86,62.025,58.68,61.89,482719
2016-01-14,59.99,60.52,58.18,59.31,408873
2016-01-15,59.86,59.86,57.83,58.7,460357
2016-01-18,59.86,59.86,59.86,59.86,0
2016-01-19,59.77,61.05,59.305,60.27,606147
2016-01-20,60.33,60.94,57.31,59.16,740437
2016-01-21,60.73,61.3476,59.88,60.46,397846
2016-01-22,60.95,61.46,59.86,61.18,697850
2016-01-25,60.39,61.33,60.17,60.81,334006
2016-01-26,62.21,62.34,59.94,60.47,342371
2016-01-27,61.42,62.94,61.21,62.4,365818
2016-01-28,59.51,62.2,58.43,61.58,1244523
2016-01-29,66.14,69.36,62.885,64.5,2198499
2016-02-01,67.55,68.03,65.58,66.11,1052810
2016-02-02,67.54,67.75,65.57,65.65,837676
2016-02-03,67.17,68.0,65.25,67.76,587206
2016-02-04,67.38,67.99,66.59,67.01,398321
2016-02-05,65.87,67.34,65.02,67.1,558528
2016-02-08,58.65,65.0,57.51,65.0,1550729
2016-02-09,58.66,59.74,58.045,58.22,989896
2016-02-10,60.13,62.68,58.69,59.21,1135112
2016-02-11,58.79,59.72,57.75,59.21,724334
2016-02-12,58.78,59.95,58.0,59.74,513000
2016-02-15,58.78,58.78,58.78,58.78,0
2016-02-16,61.87,61.95,58.955,59.61,742117
2016-02-17,63.1,63.66,61.06,62.07,609431
2016-02-18,62.88,63.83,62.39,63.62,447001
2016-02-19,63.29,63.44,61.44,62.35,289225
2016-02-22,64.33,64.66,63.68,63.77,398255
2016-02-23,62.94,64.5,62.82,63.42,427687
2016-02-24,63.32,63.55,61.49,62.24,407527
2016-02-25,64.46,64.495,62.25,63.5,354380
2016-02-26,65.4,65.62,64.16,64.2,422639
2016-02-29,66.03,66.25,65.08,65.32,627345
2016-03-01,67.86,68.08,65.77,66.26,694951
2016-03-02,68.51,68.62,66.715,67.98,562630
2016-03-03,69.44,69.58,67.765,68.59,465590
2016-03-04,70.39,70.6,68.48,69.48,772869
2016-03-07,71.55,71.65,69.84,70.35,618586
2016-03-08,70.6,71.51,69.84,71.07,843184
2016-03-09,70.69,71.14,70.13,70.66,718362
2016-03-10,70.42,71.075,69.45,70.63,691860
2016-03-11,72.3,72.75,70.84,71.22,653202
