Date,Close,High,Low,Open,Volume
2016-01-01,65.92,65.92,65.92,65.92,0
2016-01-04,64.53,64.88,63.39,64.88,845036
2016-01-05,64.46,65.4,64.105,64.57,525644
2016-01-06,62.77,63.83,62.39,63.62,505484
2016-01-07,60.96,62.29,60.75,61.63,614109
2016-01-08,59.77,61.71,59.62,61.3,675735
2016-01-11,59.49,60.445,58.98,60.02,562666
2016-01-12,60.11,60.435,59.33,59.96,521537
2016-01-13,58.81,60.69,58.66,60.53,513352
2016-01-14,60.23,60.94,59.04,59.8,929358
2016-01-15,58.68,60.42,56.66,60.42,1231471
2016-01-18,58.68,58.68,58.68,58.68,0
2016-01-19,58.01,60.21,57.28,60.05,1000024
2016-01-20,57.41,58.04,55.53,57.55,1355205
2016-01-21,57.21,57.77,55.76,57.44,1152552
2016-01-22,59.96,60.125,58.13,58.15,1086943
2016-01-25,59.19,60.35,58.83,59.69,1114665
2016-01-26,59.94,60.12,58.775,59.04,638047
2016-01-27,59.73,60.57,59.37,59.68,712288
2016-01-28,59.22,60.17,58.76,60.06,668130
2016-01-29,60.56,60.65,59.17,59.53,677677
2016-02-01,60.45,60.74,59.53,60.0,982728
2016-02-02,58.73,59.95,58.31,59.95,1217330
2016-02-03,59.38,59.49,57.7,59.39,897595
2016-02-04,59.8,60.97,59.215,59.32,542807
2016-02-05,56.27,60.35,56.01,59.83,1627224
2016-02-08,53.77,55.88,52.95,55.38,2160965
2016-02-09,54.28,54.95,53.19,53.33,1425704
2016-02-10,54.85,56.52,54.41,54.81,1245856
2016-02-11,56.74,58.7725,54.45,56.19,2540757
2016-02-12,57.5,58.87,57.17,58.09,1869096
2016-02-15,57.5,57.5,57.5,57.5,0
2016-02-16,58.5,58.8101,56.88,58.38,1177570
2016-02-17,58.81,59.55,58.43,58.9,1186343
2016-02-18,58.59,59.4,58.38,59.09,987345
2016-02-19,58.76,58.8,57.97,58.5,2485984
2016-02-22,61.07,61.43,59.05,59.45,988507
2016-02-23,61.11,62.0,60.53,60.8,742947
2016-02-24,62.63,62.77,60.01,60.45,1014753
2016-02-25,63.8,63.87,60.6,62.72,912107
2016-02-26,63.88,64.5,63.13,64.0,748825
2016-02-29,63.0,64.24,62.94,63.92,1127875
2016-03-01,64.83,64.91,63.32,63.58,1140982
2016-03-02,64.64,64.98,64.045,64.59,674024
2016-03-03,64.84,64.98,64.22,64.57,695908
2016-03-04,63.94,64.9975,63.84,64.83,837111
2016-03-07,63.49,63.96,62.98,63.59,913106
2016-03-08,62.95,63.36,62.43,63.08,972306
2016-03-09,63.32,63.68,62.87,63.43,479048
2016-03-10,63.1,64.11,62.63,63.55,579415
2016-03-11,63.75,63.96,63.35,63.78,440112
2016-03-14,64.17,64.47,63.23,63.23,569786
2016-03-15,63.64,64.15,63.41,63.66,463092
2016-03-16,63.76,64.1,63.03,63.34,486881
2016-03-17,64.37,64.52,63.1501,63.63,596168
2016-03-18,64.56,65.36,64.49,64.68,865727
2016-03-21,64.49,64.74,63.97,64.26,701806
2016-03-22,64.22,64.46,63.9501,64.16,536856
2016-03-23,63.36,64.07,63.22,64.07,454627
2016-03-24,63.14,63.38,62.69,63.23,448059
2016-03-25,63.14,63.14,63.14,63.14,0
2016-03-28,63.37,63.53,62.93,63.33,313625
2016-03-29,63.64,63.81,62.96,63.41,590649
2016-03-30,63.84,63.94,63.04,63.82,471099
2016-03-31,63.71,64.29,63.46,63.8,521097
2016-04-01,65.38,65.5,63.08,63.47,933741
2016-04-04,64.86,65.84,64.67,65.37,453750
2016-04-05,64.7,65.22,64.07,64.55,979025
2016-04-06,66.21,66.28,64.68,64.86,1143841
2016-04-07,63.97,65.99,63.77,65.99,1018864
2016-04-08,64.06,64.76,63.91,64.53,429404
2016-04-11,63.41,64.725,63.285,64.55,577990
2016-04-12,63.41,63.99,63.13,63.44,574217
2016-04-13,64.28,64.33,63.35,63.64,746645
2016-04-14,63.7,64.27,63.51,64.22,463732
2016-04-15,63.77,63.83,63.32,63.58,340659
2016-04-18,64.25,64.56,63.495,63.51,315908
2016-04-19,63.88,64.59,63.75,64.35,457778
2016-04-20,63.91,64.22,63.58,63.99,350928
2016-04-21,63.24,64.38,63.14,63.95,359664
2016-04-22,64.24,64.29,63.26,63.33,557600
2016-04-25,64.7,64.74,63.93,64.31,535045
2016-04-26,65.67,65.759,64.88,65.0,778817
2016-04-27,66.83,66.91,65.47,65.85,994629
2016-04-28,65.24,66.2,63.66,63.95,1756683
2016-04-29,65.45,65.54,64.57,65.23,958186
2016-05-02,66.5,67.12,65.34,65.49,993298
2016-05-03,65.69,66.44,65.4,66.3,822848
2016-05-04,65.46,65.605,64.83,65.37,539027
2016-05-05,65.37,65.78,64.9,65.49,769481
2016-05-06,66.01,66.05,64.8,65.37,372355
2016-05-09,66.17,66.53,65.69,65.98,441708
2016-05-10,66.94,67.02,66.265,66.58,327492
2016-05-11,65.94,67.24,65.89,66.94,283872
2016-05-12,66.13,66.43,65.55,66.29,306889
2016-05-13,66.01,66.94,65.56,66.01,542590
2016-05-16,66.34,66.665,65.68,66.08,476092
2016-05-17,66.83,67.11,65.97,66.43,1042114
2016-05-18,67.18,67.45,66.22,66.73,720411
2016-05-19,67.21,67.41,66.47,66.68,1228141
2016-05-20,67.36,68.61,67.27,67.69,583117
2016-05-23,67.22,67.4,66.84,67.39,447404
2016-05-24,68.12,68.45,67.07,67.7,504457
2016-05-25,67.95,68.4649,67.44,68.45,824916
2016-05-26,67.73,68.33,67.69,67.95,331957
2016-05-27,67.99,68.49,67.72,67.76,425478
2016-05-30,67.99,67.99,67.99,67.99,0
2016-05-31,67.64,68.35,67.35,68.07,563701
2016-06-01,68.19,68.26,67.03,67.48,638104
2016-06-02,68.13,68.18,67.51,68.03,575439
2016-06-03,67.89,68.11,67.34,67.86,333728
2016-06-06,67.9,68.175,67.47,68.14,447694
2016-06-07,67.75,68.17,67.42,67.93,596715
2016-06-08,69.01,69.1,67.495,67.69,715429
2016-06-09,68.98,69.1,68.31,68.67,441939
2016-06-10,67.91,69.05,67.59,68.96,589611
2016-06-13,67.49,68.16,67.23,67.52,665158
2016-06-14,67.63,67.69,66.9,67.44,557051
2016-06-15,68.16,68.42,67.86,68.0,701607
2016-06-16,68.2,68.36,67.4392,67.7,703971
2016-06-17,67.69,68.52,67.66,68.34,511323
2016-06-20,68.95,69.14,68.17,68.17,351168
2016-06-21,69.02,69.25,68.55,68.94,587450
2016-06-22,68.84,69.69,68.82,68.9,484823
2016-06-23,69.25,69.445,68.905,69.25,419729
2016-06-24,65.72,67.93,65.66,66.86,1093672
2016-06-27,64.02,65.21,63.45,65.06,1187969
2016-06-28,66.41,66.51,64.2,64.43,857614
2016-06-29,68.01,68.45,66.77,66.84,961459
2016-06-30,69.43,69.46,68.05,68.07,578362
2016-07-01,68.8,69.57,68.28,69.3,774994
2016-07-04,68.8,68.8,68.8,68.8,0
2016-07-05,68.01,68.54,67.52,68.36,455816
2016-07-06,68.26,68.62,67.46,67.93,980822
2016-07-07,68.64,68.99,68.07,68.49,333146
2016-07-08,69.74,69.95,69.02,69.14,386392
2016-07-11,69.93,70.63,69.84,70.0,501788
2016-07-12,70.53,70.77,70.095,70.23,427690
2016-07-13,70.44,71.01,70.21,71.01,331650
2016-07-14,71.01,71.415,70.85,71.07,462453
2016-07-15,71.35,71.56,70.875,71.21,363003
2016-07-18,70.94,71.5,70.75,71.35,291383
2016-07-19,71.84,71.92,70.75,70.84,802405
2016-07-20,71.93,72.2,71.475,71.92,317890
2016-07-21,71.56,71.95,71.38,71.93,257318
2016-07-22,72.34,72.445,71.23,71.47,471036
2016-07-25,71.87,71.98,71.46,71.69,390052
2016-07-26,72.46,72.66,71.875,71.95,579332
2016-07-27,71.88,72.59,71.46,72.55,758590
2016-07-28,72.78,73.42,72.15,72.75,841059
2016-07-29,72.39,73.49,72.19,72.82,963955
2016-08-01,72.4,72.63,71.61,72.21,632938
2016-08-02,71.69,72.07,70.745,70.99,618612
2016-08-03,71.05,71.7,70.76,71.7,720655
2016-08-04,71.0,71.79,70.92,71.23,658810
2016-08-05,71.41,71.645,71.19,71.56,651569
2016-08-08,70.98,71.56,70.67,71.36,672831
2016-08-09,71.31,71.31,70.74,71.11,716152
2016-08-10,71.35,71.5,70.91,71.5,485752
2016-08-11,71.81,72.07,71.41,71.49,489974
2016-08-12,72.35,72.54,71.68,71.81,598080
2016-08-15,72.82,73.22,72.4,72.63,602818
2016-08-16,72.23,73.11,72.16,72.58,402552
2016-08-17,71.66,72.3,71.29,72.23,597812
2016-08-18,71.89,72.1,71.3901,71.58,283425
2016-08-19,71.28,71.67,71.09,71.62,546783
2016-08-22,71.91,72.06,71.08,71.22,624898
2016-08-23,72.18,72.61,72.08,72.08,390211
2016-08-24,71.8,72.25,71.66,72.01,484054
2016-08-25,72.09,72.19,71.485,71.69,310379
2016-08-26,71.58,72.49,71.18,72.25,308759
2016-08-29,72.1,72.17,71.43,71.69,354704
2016-08-30,71.26,72.13,71.07,71.93,450546
2016-08-31,71.22,71.49,70.69,71.08,573928
2016-09-01,71.84,71.88,70.715,71.32,534715
2016-09-02,72.39,72.55,71.9201,72.05,420771
2016-09-05,72.39,72.39,72.39,72.39,0
2016-09-06,72.07,72.75,71.675,72.36,329403
2016-09-07,70.89,71.94,70.595,71.9,757757
2016-09-08,69.88,70.91,69.725,70.68,516445
2016-09-09,66.83,69.644,66.83,69.36,951373
2016-09-12,67.38,67.64,66.71,66.73,1185231
2016-09-13,66.58,67.04,66.19,66.57,620977
2016-09-14,66.09,66.98,65.83,66.65,749344
2016-09-15,66.85,67.13,65.99,66.05,1716793
2016-09-16,66.25,66.515,66.1,66.43,989820
2016-09-19,67.37,67.73,66.1,66.25,1088350
2016-09-20,67.36,67.85,67.06,67.74,494259
2016-09-21,67.88,68.03,66.77,67.71,508877
2016-09-22,69.05,69.38,68.56,68.56,726035
2016-09-23,68.67,69.05,68.42,69.05,340597
2016-09-26,68.25,68.61,67.74,68.42,204521
2016-09-27,68.94,68.96,68.14,68.19,280024
2016-09-28,69.41,69.42,68.49,69.05,366030
2016-09-29,68.26,69.47,67.77,69.19,672035
2016-09-30,68.91,69.4,67.965,68.44,1014659
2016-10-03,68.17,69.1,68.16,68.66,647347
2016-10-04,67.38,68.45,67.2,68.21,601960
2016-10-05,67.55,67.86,66.85,67.77,854602
2016-10-06,67.95,68.11,67.23,67.6,488926
2016-10-07,66.88,68.16,66.62,68.16,642028
2016-10-10,67.28,67.64,66.98,67.11,591410
2016-10-11,66.23,67.23,65.62,67.0,686794
2016-10-12,67.03,67.26,66.13,66.28,510071
2016-10-13,66.54,66.75,65.85,66.43,296081
2016-10-14,67.69,68.24,66.93,67.02,840383
2016-10-17,68.34,69.5,68.08,68.33,691199
2016-10-18,67.9,68.99,67.81,68.99,633402
2016-10-19,67.2,68.0029,67.17,67.93,613873
2016-10-20,67.28,67.62,66.47,67.19,552032
2016-10-21,67.18,67.26,65.83,66.66,759321
2016-10-24,67.76,68.19,67.53,67.69,619598
2016-10-25,65.52,67.56,65.43,67.56,821996
2016-10-26,65.59,65.74,65.09,65.43,1536997
2016-10-27,62.84,64.51,61.47,64.16,2817691
2016-10-28,63.59,64.75,62.65,62.65,1198516
2016-10-31,63.84,64.29,63.56,63.56,1601109
2016-11-01,63.46,64.5,62.92,63.91,2094615
2016-11-02,63.35,63.81,62.97,63.32,1171422
2016-11-03,63.29,63.88,63.07,63.4,835170
2016-11-04,63.64,64.69,63.31,63.48,1692923
2016-11-07,65.42,65.48,64.5326,64.76,713546
2016-11-08,65.71,65.97,64.9,65.31,429891
2016-11-09,66.75,67.26,64.31,64.32,1053288
2016-11-10,69.11,69.95,67.07,67.28,1358725
2016-11-11,69.31,69.9,68.95,68.95,1187921
2016-11-14,68.59,69.44,68.39,69.38,1245867
2016-11-15,68.77,68.94,68.11,68.6,887542
2016-11-16,67.57,68.79,67.52,68.79,575386
2016-11-17,68.28,68.61,67.63,67.66,600483
2016-11-18,67.32,68.6,67.08,68.04,637805
2016-11-21,67.93,68.32,67.04,67.68,595832
2016-11-22,68.0,68.2,67.54,67.93,545926
2016-11-23,67.7,68.31,67.21,67.93,648092
