Date,Close,High,Low,Open,Volume
2016-01-01,190.75,190.75,190.75,190.75,0
2016-01-04,184.68,187.07,182.5,187.01,1637408
2016-01-05,184.9,187.59,184.0,185.36,1042532
2016-01-06,184.07,186.92,182.566,183.72,1480791
2016-01-07,174.37,181.13,174.37,180.51,1966700
2016-01-08,168.13,175.01,167.76,175.01,1754809
2016-01-11,161.65,169.6,158.97,169.6,1905514
2016-01-12,166.12,167.3,160.57,162.99,1455558
2016-01-13,157.92,167.0,156.74,166.61,1686754
2016-01-14,167.29,169.84,155.28,158.39,2684498
2016-01-15,158.68,163.77,156.27,156.27,2703947
2016-01-18,158.68,158.68,158.68,158.68,0
2016-01-19,156.75,163.71,152.23,162.59,2396072
2016-01-20,159.89,162.65,149.645,153.9,2958982
2016-01-21,155.52,161.35,155.275,159.68,1777826
2016-01-22,159.15,159.48,155.38,158.69,1136451
2016-01-25,154.54,160.15,154.21,158.65,1282637
2016-01-26,152.64,156.29,150.06,155.12,1524857
2016-01-27,151.12,157.37,149.23,152.96,2140952
2016-01-28,145.61,155.0,143.03,151.96,2989924
2016-01-29,145.93,147.68,141.16,147.68,3158708
2016-02-01,143.5,146.8,139.34,144.18,2722488
2016-02-02,137.36,143.65,137.05,141.64,2477114
2016-02-03,145.97,147.3,130.51,132.5,5597495
2016-02-04,146.02,152.41,143.81,143.81,2803806
2016-02-05,142.28,146.9,139.13,146.2,2132320
2016-02-08,139.15,141.405,136.44,138.02,2146264
2016-02-09,136.46,142.07,134.0,136.97,2559822
2016-02-10,138.82,144.43,136.76,138.2,1758532
2016-02-11,135.36,137.63,134.25,134.52,1402017
2016-02-12,141.11,141.26,134.31,136.91,1595206
2016-02-15,141.11,141.11,141.11,141.11,0
2016-02-16,142.39,144.5456,140.42,143.1,1635554
2016-02-17,148.6,149.16,141.79,143.93,2184579
2016-02-18,143.15,149.27,142.78,148.52,1734212
2016-02-19,145.89,146.13,140.5,142.28,1330150
2016-02-22,145.32,148.67,144.5,147.79,1171674
2016-02-23,142.06,147.67,141.86,144.22,1500398
2016-02-24,141.97,142.55,135.76,140.66,1653820
2016-02-25,140.54,144.99,139.03,142.09,1349270
2016-02-26,140.16,141.825,137.95,141.4,1433581
2016-02-29,140.8,142.81,138.91,138.91,1484728
2016-03-01,150.83,151.19,140.11,142.47,2227714
2016-03-02,151.59,152.49,149.0,149.55,1871439
2016-03-03,145.85,151.19,145.67,150.75,1328870
2016-03-04,144.46,148.23,144.12,146.49,1352962
2016-03-07,149.6,150.12,142.2,143.16,1110864
2016-03-08,141.03,147.59,140.8,147.15,1955916
2016-03-09,140.52,142.89,137.27,141.62,2018853
2016-03-10,136.76,141.73,135.01,141.73,1803068
2016-03-11,139.27,139.79,136.71,138.22,1695148
2016-03-14,134.5,139.15,134.49,139.15,1644690
2016-03-15,134.44,134.59,130.52,133.75,2163323
2016-03-16,130.84,136.74,129.71,134.44,1499721
2016-03-17,127.91,131.59,124.16,130.56,2838930
2016-03-18,128.45,129.52,124.77,128.58,2608231
2016-03-21,131.06,131.8,128.07,128.38,1500609
2016-03-22,135.71,135.9199,129.82,129.91,2203652
2016-03-23,133.63,136.75,131.25,134.96,2333273
2016-03-24,133.19,136.3699,130.37,132.88,1222032
2016-03-25,133.19,133.19,133.19,133.19,0
2016-03-28,132.5,135.2,131.93,133.95,1298440
2016-03-29,134.54,134.74,129.61,131.61,1172756
2016-03-30,134.82,138.0699,133.81,135.88,1263283
2016-03-31,139.22,140.41,134.305,135.32,1831253
2016-04-01,142.94,143.2,135.87,135.87,2023517
2016-04-04,147.1,148.74,143.09,143.48,1995969
2016-04-05,148.03,149.71,145.2145,145.98,1718949
2016-04-06,157.02,157.19,148.29,148.29,2117774
2016-04-07,148.03,156.48,147.67,154.97,2081011
2016-04-08,148.89,150.6245,145.79,150.0,1542709
2016-04-11,147.88,150.98,146.93,150.0,1296094
2016-04-12,153.55,153.91,147.87,148.49,1461082
2016-04-13,152.88,155.83,151.13,154.59,1622310
2016-04-14,154.75,155.99,152.02,153.55,984712
2016-04-15,153.09,155.29,151.65,155.13,1569045
2016-04-18,155.71,157.71,152.43,153.76,989268
2016-04-19,155.44,156.84,153.66,155.93,779186
2016-04-20,157.04,158.12,154.92,156.24,822597
2016-04-21,161.38,161.64,156.78,157.07,1197986
2016-04-22,159.1,162.0,157.36,161.04,1216634
2016-04-25,158.02,159.93,156.73,158.86,849052
2016-04-26,154.01,158.08,151.96,158.08,1458572
2016-04-27,150.78,155.48,150.75,154.47,1865581
2016-04-28,142.53,146.48,139.12,142.99,3278627
2016-04-29,139.28,142.305,137.4,141.88,2051577
2016-05-02,140.53,140.78,138.5,140.07,1365407
2016-05-03,144.37,147.79,141.0,141.71,2259306
2016-05-04,141.41,144.46,140.865,143.7,1284472
2016-05-05,142.58,143.74,140.36,142.16,1005576
2016-05-06,140.99,143.52,139.67,141.32,933231
2016-05-09,143.52,145.32,141.485,141.59,951438
2016-05-10,145.48,145.7,141.52,144.75,912053
2016-05-11,138.86,146.4396,138.69,145.72,1122397
2016-05-12,139.11,140.46,136.68,139.58,1167077
2016-05-13,139.74,140.27,138.0,138.65,1138936
2016-05-16,144.57,144.88,138.64,139.19,1305450
2016-05-17,139.96,144.39,139.38,143.81,1549710
2016-05-18,142.33,142.45,139.5713,139.7,1249899
2016-05-19,139.03,142.3,137.64,140.9,1304226
2016-05-20,142.52,143.0,139.22,139.29,975544
2016-05-23,142.51,144.5,141.73,142.42,981838
2016-05-24,146.67,146.93,142.53,143.93,1169477
2016-05-25,149.61,150.0,146.705,146.73,1395921
2016-05-26,148.17,149.7,147.02,148.97,920322
2016-05-27,150.42,150.65,146.55,148.2,1094251
2016-05-30,150.42,150.42,150.42,150.42,0
2016-05-31,150.9,153.44,149.8001,151.07,1121791
2016-06-01,152.7,153.61,149.89,150.87,978231
2016-06-02,156.77,157.02,152.69,152.69,1570450
2016-06-03,153.89,156.25,150.6,156.0,1480549
2016-06-06,154.99,155.78,152.14,154.02,1402295
2016-06-07,138.13,140.75,136.14,139.97,5632792
2016-06-08,138.88,139.79,137.91,138.14,2953708
2016-06-09,138.24,141.48,137.75,138.26,2376206
2016-06-10,135.61,137.86,134.02,136.7,1983755
2016-06-13,133.32,137.63,133.18,135.72,1653974
2016-06-14,131.22,134.05,130.27,133.19,1905184
2016-06-15,129.55,132.2,129.35,131.67,1678130
2016-06-16,127.49,129.55,127.2,128.74,2189871
2016-06-17,125.2,127.49,124.8,126.98,3526557
2016-06-20,123.96,128.55,123.79,128.33,3473046
2016-06-21,124.14,124.83,122.65,124.57,2691077
2016-06-22,121.41,126.055,121.07,123.92,3681336
2016-06-23,123.57,123.71,121.43,123.08,1922846
