Date,Close,High,Low,Open,Volume
2016-01-01,159.76,159.76,159.76,159.76,0
2016-01-04,155.99,156.24,153.26,155.11,611023
2016-01-05,154.73,158.21,153.07,157.19,442755
2016-01-06,147.93,151.54,147.0,151.54,712581
2016-01-07,139.0,144.07,138.24,143.93,1136106
2016-01-08,134.23,140.928,134.04,140.53,1449790
2016-01-11,135.84,136.93,132.24,135.57,933682
2016-01-12,136.37,137.41,134.3,136.94,640565
2016-01-13,131.16,138.0,130.0,137.06,864277
2016-01-14,131.82,133.66,128.38,131.99,717967
2016-01-15,128.2,129.728,124.41,128.22,951676
2016-01-18,128.2,128.2,128.2,128.2,0
2016-01-19,128.61,131.87,126.7,129.92,864391
2016-01-20,126.57,128.0,120.68,125.49,992557
2016-01-21,127.44,131.33,126.0,127.18,460237
2016-01-22,134.53,134.98,130.35,131.07,788184
2016-01-25,128.18,134.885,127.56,134.17,727981
2016-01-26,131.4,132.225,126.8601,126.88,701474
2016-01-27,131.1,134.71,130.1101,131.17,715731
2016-01-28,128.78,133.385,128.26,132.64,472268
2016-01-29,134.19,134.34,129.98,130.26,616692
2016-02-01,132.2,133.205,129.54,132.83,602039
2016-02-02,122.6,127.7,121.72,125.99,960422
2016-02-03,122.4,123.51,117.29,123.51,792685
2016-02-04,128.66,130.65,122.15,123.33,640677
2016-02-05,124.75,129.96,124.16,128.55,634762
2016-02-08,120.36,121.98,117.12,121.58,780195
2016-02-09,119.94,120.76,117.1,117.69,743039
2016-02-10,120.99,123.65,120.26,120.69,533912
2016-02-11,117.8,120.07,115.97,116.46,763863
2016-02-12,124.42,125.2,119.12,120.47,530004
2016-02-15,124.42,124.42,124.42,124.42,0
2016-02-16,126.62,127.92,125.355,126.83,628405
2016-02-17,130.6,132.39,128.84,128.84,455361
2016-02-18,129.2,130.99,127.59,130.76,658393
2016-02-19,129.54,129.63,125.87,128.04,666845
2016-02-22,134.99,135.27,132.08,132.08,571179
2016-02-23,129.17,134.77,129.0,134.43,635964
2016-02-24,128.93,129.49,124.64,126.56,870246
2016-02-25,130.3,130.36,126.42,129.29,476100
2016-02-26,136.93,137.3,132.18,133.06,738495
2016-02-29,138.69,139.96,137.015,137.38,1339417
2016-03-01,144.18,145.15,139.76,140.48,957227
