Date,Close,High,Low,Open,Volume
2016-01-01,38.71,38.71,38.71,38.71,0
2016-01-04,37.62,38.09,36.98,38.05,8926113
2016-01-05,37.14,37.8913,36.94,37.79,11150973
2016-01-06,36.79,36.8,36.08,36.32,17867263
2016-01-07,36.27,37.01,35.43,35.79,10489201
2016-01-08,35.71,36.8,35.54,36.79,8412722
2016-01-11,36.21,36.6499,35.79,35.9,8152172
2016-01-12,37.12,37.8325,36.53,36.65,6984474
2016-01-13,34.86,37.48,34.695,37.48,53119744
2016-01-14,35.4,35.66,34.17,34.92,9527731
2016-01-15,34.91,35.35,33.51,34.31,11935770
2016-01-18,34.91,34.91,34.91,34.91,0
2016-01-19,35.15,35.63,34.695,35.52,5843582
2016-01-20,34.71,35.06,33.4605,34.53,8084337
2016-01-21,34.56,35.45,34.38,34.79,8859547
2016-01-22,35.92,36.205,34.82,35.08,6601850
2016-01-25,34.73,35.87,34.63,35.76,8582477
2016-01-26,35.3,35.46,34.83,34.85,5502524
2016-01-27,34.07,35.4025,33.925,35.25,7862604
2016-01-28,33.79,34.9299,33.17,34.53,13813633
2016-01-29,34.82,34.88,32.55,33.63,20543854
2016-02-01,34.67,35.26,34.43,34.6,8915948
2016-02-02,33.42,34.57,33.12,34.24,8704679
2016-02-03,33.12,33.85,32.33,33.81,10319356
2016-02-04,31.94,33.25,31.3349,33.14,17559834
2016-02-05,30.53,31.8,30.39,31.77,17261322
2016-02-08,28.72,29.89,28.13,29.69,17084103
2016-02-09,28.81,29.75,28.05,28.41,14216661
2016-02-10,30.15,30.55,29.0501,29.06,14315513
2016-02-11,30.52,30.72,29.49,29.6,17176408
2016-02-12,28.12,29.04,26.49,28.66,42849840
2016-02-15,28.12,28.12,28.12,28.12,0
2016-02-16,29.42,29.65,28.55,28.56,15564925
2016-02-17,29.45,30.02,29.32,29.76,15154864
2016-02-18,28.88,30.0,28.79,29.88,8244215
2016-02-19,30.19,30.35,28.6501,28.85,11537093
2016-02-22,31.52,31.85,30.48,30.51,10578978
2016-02-23,30.73,31.91,30.55,31.35,9504124
2016-02-24,31.71,31.77,30.24,30.44,8306824
2016-02-25,32.32,32.62,31.75,31.98,8611407
2016-02-26,31.89,32.625,31.65,32.38,7114277
2016-02-29,31.67,32.22,31.32,31.73,7479277
2016-03-01,32.21,32.4,31.45,31.96,7543561
2016-03-02,32.01,32.21,31.51,32.0,8292781
2016-03-03,31.52,31.8986,31.02,31.81,5454899
2016-03-04,31.19,31.84,30.7101,31.84,6125808
2016-03-07,30.98,31.48,30.51,31.0,7754692
2016-03-08,30.78,31.15,30.51,30.7,6958290
2016-03-09,30.86,31.05,30.37,30.82,6527104
