Date,Close,High,Low,Open,Volume
2016-01-01,233.8,233.8,233.8,233.8,0
2016-01-04,233.21,233.21,228.31,231.54,494333
2016-01-05,236.17,237.8799,232.76,234.88,356699
2016-01-06,229.94,234.0,226.56,233.27,546652
2016-01-07,223.84,229.6075,222.99,226.12,611796
2016-01-08,215.48,225.3,204.56,223.0,1929242
2016-01-11,206.33,220.65,203.7,218.87,1087020
2016-01-12,209.11,210.5,205.61,208.85,600910
2016-01-13,199.57,210.635,198.71,210.39,659186
2016-01-14,207.0,208.83,199.46,199.51,535560
2016-01-15,203.06,205.9599,199.17,203.1,619299
2016-01-18,203.06,203.06,203.06,203.06,0
2016-01-19,206.51,207.345,202.91,204.84,733255
2016-01-20,202.24,205.29,196.83,203.15,708794
2016-01-21,196.63,203.135,195.7,202.19,573948
2016-01-22,199.57,203.27,197.69,199.82,509788
2016-01-25,192.38,199.22,192.1503,198.75,369851
2016-01-26,194.72,197.08,193.85,194.44,542980
2016-01-27,194.28,197.82,192.85,193.62,301628
2016-01-28,189.78,197.5,188.74,196.1,544036
2016-01-29,202.43,202.48,189.5801,190.1,825006
2016-02-01,200.16,202.1,198.77,199.9,442871
2016-02-02,196.5,199.05,195.92,199.05,461028
2016-02-03,194.36,198.5,193.0,198.25,595087
2016-02-04,195.47,199.64,192.8,193.3,417885
2016-02-05,184.35,195.585,182.85,194.91,776547
2016-02-08,177.22,182.725,174.8701,181.29,810095
2016-02-09,180.01,183.5,173.89,175.37,557567
2016-02-10,183.06,184.3299,180.74,180.74,543296
2016-02-11,175.13,179.49,169.42,179.49,1076710
2016-02-12,179.68,180.9,175.25,176.95,678194
2016-02-15,179.68,179.68,179.68,179.68,0
2016-02-16,185.89,186.55,181.01,182.22,532853
2016-02-17,194.84,195.92,187.15,187.15,811946
2016-02-18,194.29,196.785,192.8208,195.77,466968
2016-02-19,191.06,193.88,188.09,192.97,525705
2016-02-22,197.52,198.2,193.1,193.1,572338
2016-02-23,197.22,199.4699,196.05,196.47,462219
2016-02-24,196.75,196.91,191.9499,194.2,404743
2016-02-25,204.47,204.59,197.92,199.01,488283
2016-02-26,208.74,209.65,205.53,205.96,450540
2016-02-29,209.43,211.29,207.45,208.96,572816
2016-03-01,217.05,218.07,210.03,210.84,755188
2016-03-02,220.36,220.43,214.155,217.26,446218
2016-03-03,222.13,222.2,216.1775,219.62,571926
2016-03-04,220.3,222.845,217.69,222.42,543104
2016-03-07,215.29,221.12,212.51,219.59,670632
2016-03-08,214.13,216.72,211.69,213.38,514962
2016-03-09,214.27,217.09,212.31,214.8,284492
2016-03-10,212.53,216.38,209.0601,214.45,336456
2016-03-11,215.65,216.165,212.205,213.81,341123
2016-03-14,215.93,216.66,213.6,213.6,338295
2016-03-15,218.09,219.83,213.28,213.28,436039
2016-03-16,222.91,223.68,218.03,218.11,412296
2016-03-17,224.62,225.18,219.62,222.45,668313
2016-03-18,220.24,224.27,218.58,224.27,1189472
2016-03-21,221.04,221.09,218.62,220.24,459438
2016-03-22,220.75,223.86,218.87,218.87,277348
2016-03-23,217.8,221.56,217.54,220.82,229785
2016-03-24,214.91,220.4,212.93,217.43,449186
2016-03-25,214.91,214.91,214.91,214.91,0
2016-03-28,215.52,217.74,212.6,215.03,324319
2016-03-29,218.37,218.4,212.945,215.11,415249
2016-03-30,216.35,220.365,214.91,220.0,370383
2016-03-31,218.14,218.4,214.12,215.23,618730
2016-04-01,223.34,223.87,215.49,216.07,463038
2016-04-04,220.17,223.165,218.03,222.32,507040
2016-04-05,225.0,226.68,217.47,217.47,940144
2016-04-06,254.85,255.14,239.08,246.0,1600425
2016-04-07,248.3,258.1189,245.24,254.78,1303858
2016-04-08,250.12,252.175,246.2,250.94,580090
2016-04-11,248.17,253.53,247.4,251.0,467325
2016-04-12,249.83,253.76,248.29,250.06,352310
2016-04-13,256.59,257.13,250.59,252.71,522908
2016-04-14,254.93,256.96,252.76,256.05,385627
2016-04-15,256.69,256.8799,253.59,255.29,287318
2016-04-18,258.28,260.48,255.61,255.73,285641
2016-04-19,259.54,259.89,257.0,259.33,232222
2016-04-20,257.57,260.8289,257.2,260.0,278336
2016-04-21,255.6,258.75,254.0201,257.57,334824
2016-04-22,256.03,257.37,254.51,254.84,383530
2016-04-25,252.9,256.25,252.01,256.09,390313
2016-04-26,256.48,256.67,253.0,253.73,318387
2016-04-27,254.67,257.93,253.85,256.21,648594
2016-04-28,246.27,255.59,245.39,252.89,603364
2016-04-29,243.89,246.8,239.4,245.93,685261
2016-05-02,245.19,245.82,242.5,245.35,8821510
2016-05-03,242.3,245.465,241.55,244.95,636431
2016-05-04,242.18,243.98,240.0,240.49,402128
2016-05-05,243.95,245.99,242.42,243.09,404031
2016-05-06,245.51,245.51,242.9001,243.64,285522
2016-05-09,248.81,250.16,245.0,245.0,414498
2016-05-10,252.36,252.65,248.94,248.94,391167
2016-05-11,251.93,254.82,250.49,251.98,336124
2016-05-12,252.05,255.0399,250.0,253.77,265606
2016-05-13,247.34,253.08,246.24,250.88,330633
2016-05-16,251.52,253.39,247.35,247.35,373850
2016-05-17,247.62,251.78,246.36,251.78,374901
2016-05-18,248.37,251.06,246.65,247.54,327558
2016-05-19,245.9,247.41,243.19,246.25,268534
2016-05-20,250.84,252.6,246.08,247.98,346960
2016-05-23,250.94,252.89,249.92,250.43,271928
2016-05-24,256.18,258.22,250.1,252.3,360511
2016-05-25,255.8,258.27,254.43,257.02,263481
2016-05-26,255.13,257.658,253.84,256.54,216938
2016-05-27,256.21,257.09,255.12,256.13,145625
2016-05-30,256.21,256.21,256.21,256.21,0
2016-05-31,259.04,264.0,257.32,257.32,706697
2016-06-01,255.14,258.78,254.17,258.78,419487
2016-06-02,255.53,255.53,252.27,253.88,310795
2016-06-03,254.69,255.01,251.08,253.37,261633
2016-06-06,252.05,255.66,251.97,254.89,354483
2016-06-07,258.14,258.45,252.29,252.56,418329
2016-06-08,259.45,260.26,257.085,258.55,244973
2016-06-09,258.4,259.93,256.71,257.29,251820
2016-06-10,251.59,256.85,251.07,256.63,226747
2016-06-13,251.03,255.49,249.1858,249.77,288545
2016-06-14,247.07,250.335,245.6,249.95,345910
2016-06-15,249.47,251.07,246.81,248.17,239920
2016-06-16,247.43,248.515,246.33,247.26,288871
2016-06-17,244.58,248.19,244.05,246.78,485017
2016-06-20,249.23,250.34,246.7401,248.72,307709
2016-06-21,250.21,251.42,249.69,249.69,254349
2016-06-22,249.91,252.81,249.2,250.21,318019
2016-06-23,254.89,255.0,250.76,254.0,258677
2016-06-24,246.67,252.65,244.54,244.54,810772
2016-06-27,232.92,245.18,231.89,244.34,531612
2016-06-28,244.66,245.39,235.07,236.07,612983
2016-06-29,246.61,252.8999,244.57,251.01,835575
2016-06-30,247.96,249.57,245.44,248.41,535710
2016-07-01,250.25,253.78,248.48,248.55,319624
2016-07-04,250.25,250.25,250.25,250.25,0
2016-07-05,246.99,249.44,244.0,248.23,327484
2016-07-06,251.24,251.45,244.98,246.44,277666
2016-07-07,253.63,255.0,251.66,252.37,235486
2016-07-08,264.62,265.1,255.14,255.73,528672
2016-07-11,268.02,270.9848,265.6089,265.65,563130
2016-07-12,267.79,270.869,265.27,268.4,400948
2016-07-13,261.16,268.91,259.86,268.91,487258
2016-07-14,265.28,267.34,262.315,263.46,359949
2016-07-15,265.42,266.0,264.06,266.0,248357
2016-07-18,263.69,266.5999,263.53,266.13,242944
2016-07-19,266.7,268.08,263.49,263.49,302815
2016-07-20,267.82,269.049,265.14,267.89,256502
2016-07-21,264.99,268.34,263.81,266.65,186064
2016-07-22,264.96,265.3499,262.01,264.01,138197
2016-07-25,262.19,264.595,261.78,264.25,182101
2016-07-26,262.82,263.0,261.13,262.34,198329
2016-07-27,261.51,264.899,260.34,263.98,219636
2016-07-28,263.65,264.42,260.12,261.64,148785
2016-07-29,262.43,264.71,261.58,263.4,146217
2016-08-01,262.09,263.155,260.14,262.43,150980
2016-08-02,260.02,263.11,257.12,261.39,316438
2016-08-03,264.5,265.95,259.5,259.59,212017
2016-08-04,263.75,265.0,262.25,265.0,152307
2016-08-05,267.69,268.15,263.635,265.0,186859
2016-08-08,269.36,270.69,267.25,268.75,172809
2016-08-09,270.04,271.34,268.02,269.36,165874
2016-08-10,272.84,273.66,268.88,269.96,255231
2016-08-11,275.14,276.16,272.63,273.78,247966
2016-08-12,274.08,276.85,273.25,275.33,159334
2016-08-15,276.0,276.41,273.23,273.95,171625
2016-08-16,275.66,276.115,273.58,274.8,154185
2016-08-17,275.28,275.91,271.8507,275.91,213728
2016-08-18,277.79,278.46,274.0,275.46,155805
2016-08-19,277.56,279.05,275.02,276.72,168498
2016-08-22,277.54,277.99,276.2,277.0,257550
2016-08-23,279.15,280.89,278.4,278.4,154014
2016-08-24,275.33,279.87,274.83,278.5,219556
2016-08-25,273.71,276.44,272.74,273.85,220740
2016-08-26,273.06,276.5899,271.4,274.87,164880
2016-08-29,274.77,275.81,273.43,273.43,269153
2016-08-30,277.12,277.25,272.855,275.01,164471
2016-08-31,275.12,278.21,271.9,276.03,214999
2016-09-01,274.08,275.9,272.15,275.14,168776
2016-09-02,274.0,276.69,273.56,275.87,252556
2016-09-05,274.0,274.0,274.0,274.0,0
