Date,Close,High,Low,Open,Volume
2016-01-01,778.01,778.01,778.01,778.01,0
2016-01-04,759.44,762.2,747.54,762.2,3369068
2016-01-05,761.53,769.2,755.65,764.1,2260795
2016-01-06,759.33,765.73,748.0,750.37,2410301
2016-01-07,741.0,755.31,735.28,746.49,3156563
2016-01-08,730.91,750.12,728.9201,747.8,2375348
2016-01-11,733.07,735.08,719.56,731.95,2544806
2016-01-12,745.34,748.34,736.43,740.75,2340753
2016-01-13,719.57,753.0,716.78,749.34,2586395
2016-01-14,731.39,739.89,705.0,724.44,2777868
2016-01-15,710.49,724.158,701.51,709.99,3833751
2016-01-18,710.49,710.49,710.49,710.49,0
2016-01-19,719.08,725.35,709.85,720.15,2436220
2016-01-20,718.56,726.95,687.78,705.9,4122010
2016-01-21,726.67,737.67,711.11,720.17,2596916
2016-01-22,745.46,748.56,740.5,742.0,2357315
2016-01-25,733.62,752.46,732.501,743.84,2267031
2016-01-26,733.79,739.46,726.97,735.21,1547049
2016-01-27,717.58,735.89,713.45,735.89,2121434
2016-01-28,748.3,751.16,730.6,738.19,3105222
2016-01-29,761.35,765.105,744.2,748.96,3790395
2016-02-01,770.77,777.59,761.38,771.26,5576089
2016-02-02,780.91,810.35,780.6,800.5,6792331
2016-02-03,749.38,791.43,736.26,786.28,6555731
2016-02-04,730.03,745.24,722.6001,744.59,5246123
2016-02-05,703.76,726.72,700.14,725.5,5477821
2016-02-08,704.16,704.52,682.01,687.68,4470514
2016-02-09,701.02,720.96,688.5,692.95,4214950
2016-02-10,706.85,723.22,705.39,711.79,3015733
2016-02-11,706.36,712.315,691.19,696.34,3250206
2016-02-12,706.89,716.0,701.58,712.21,2326889
2016-02-15,706.89,706.89,706.89,706.89,0
2016-02-16,717.64,722.8789,710.18,718.65,2172213
2016-02-17,731.97,733.76,716.61,727.0,2457715
2016-02-18,717.51,736.0,715.55,733.96,2363846
2016-02-19,722.11,724.03,713.12,715.9,1745940
2016-02-22,729.05,734.845,723.45,729.51,1875824
2016-02-23,717.29,730.9,715.67,726.1,2066566
2016-02-24,720.9,721.22,702.02,710.61,1854612
2016-02-25,729.12,729.51,713.23,722.93,1807258
2016-02-26,724.86,736.16,721.9392,733.6,2123690
2016-02-29,717.22,730.6,716.84,721.0,2253426
2016-03-01,742.17,742.33,718.64,721.3,3005553
2016-03-02,739.48,743.121,733.25,742.87,1814643
2016-03-03,731.59,741.0,729.63,739.48,2026700
2016-03-04,730.22,735.0,725.62,734.8,2425750
2016-03-07,712.8,727.21,705.14,725.15,3088278
2016-03-08,713.53,722.25,704.0,708.39,2626495
2016-03-09,725.41,726.24,712.66,715.165,1977169
2016-03-10,732.17,736.54,723.29,727.79,2230811
2016-03-11,744.87,744.9,736.7,739.95,1768995
2016-03-14,750.24,754.26,743.6625,744.97,1641189
2016-03-15,750.57,753.01,742.84,746.02,1491578
2016-03-16,757.36,759.0,746.5,749.05,1465285
2016-03-17,758.48,765.34,757.36,757.65,2228244
2016-03-18,755.41,762.14,751.82,761.63,2811518
2016-03-21,762.16,763.34,751.27,753.91,1438658
2016-03-22,760.05,765.0,757.875,758.44,1104784
2016-03-23,757.56,765.39,756.03,763.35,1233854
2016-03-24,754.84,757.555,750.5,751.2,1555844
2016-03-25,754.84,754.84,754.84,754.84,0
2016-03-28,753.28,758.3,752.04,756.17,1083823
2016-03-29,765.89,767.18,748.29,753.68,2003061
2016-03-30,768.34,777.31,767.58,768.21,2019755
2016-03-31,762.9,769.0842,758.25,768.34,1627669
2016-04-01,769.67,770.04,755.2,757.16,1583698
2016-04-04,765.12,772.44,761.785,769.51,1346424
2016-04-05,758.57,762.87,755.6,758.13,1223905
2016-04-06,768.07,768.42,756.3,757.84,1265577
2016-04-07,760.12,769.36,757.5,765.32,1274852
2016-04-08,759.47,767.13,755.77,765.87,1171867
2016-04-11,757.54,767.22,757.34,765.45,1588692
2016-04-12,764.32,764.92,751.565,758.43,1369358
2016-04-13,771.91,775.75,764.5908,770.31,1771308
2016-04-14,775.39,779.61,773.22,775.36,1349610
2016-04-15,780.0,780.93,774.9301,775.5,1585584
2016-04-18,787.68,788.55,777.61,780.19,1677015
2016-04-19,776.25,790.95,770.27,790.5,2197615
2016-04-20,774.92,779.66,771.27,779.16,1713088
2016-04-21,780.0,781.6799,771.55,777.31,3881420
2016-04-22,737.77,753.92,730.37,743.91,7039948
2016-04-25,742.21,744.88,735.1,735.35,2472061
2016-04-26,725.37,745.59,720.32,744.42,2793210
2016-04-27,721.46,727.15,709.08,725.32,3313137
2016-04-28,705.06,729.26,703.2,723.29,3129502
2016-04-29,707.88,712.11,703.78,704.12,2913898
2016-05-02,714.41,715.41,706.36,711.92,1673820
2016-05-03,708.44,713.37,707.33,712.5,1931040
2016-05-04,711.37,715.05,704.05,706.77,1708609
2016-05-05,714.71,717.55,709.4501,715.0,1483357
2016-05-06,725.18,725.99,711.95,712.2,1997628
2016-05-09,729.13,734.29,723.5,726.7,1903689
2016-05-10,739.38,740.0,731.61,734.96,1631714
2016-05-11,730.55,740.8,727.9025,740.52,1491746
2016-05-12,728.07,735.37,724.27,732.0,1354717
2016-05-13,724.83,731.29,723.51,726.62,1262161
2016-05-16,730.3,732.68,720.0,724.32,1126862
2016-05-17,720.19,735.85,718.0,731.06,1670176
2016-05-18,721.78,725.57,715.02,718.5,1626800
2016-05-19,715.31,720.5,710.305,718.3,1529910
2016-05-20,721.71,727.7,715.01,716.46,1739895
2016-05-23,717.25,723.4999,716.94,719.98,1240826
2016-05-24,733.03,734.2,719.645,719.85,1894161
2016-05-25,738.1,739.89,732.6,735.0,1616624
2016-05-26,736.93,741.1,733.0,736.0,1360119
2016-05-27,747.6,747.91,737.01,737.51,1740130
2016-05-30,747.6,747.6,747.6,747.6,0
2016-05-31,748.85,753.48,745.57,748.76,2124248
