Date,Close,High,Low,Open,Volume
2016-01-01,150.64,150.64,150.64,150.64,0
2016-01-04,146.82,148.32,145.4,148.05,3277188
2016-01-05,147.46,147.5,145.61,146.82,2688082
2016-01-06,144.49,145.76,143.42,145.59,2997126
2016-01-07,140.97,143.13,140.63,142.52,3553519
2016-01-08,140.49,142.5,140.22,141.36,2663879
2016-01-11,140.46,141.43,139.41,140.97,2775527
2016-01-12,140.86,142.15,139.13,141.36,2363612
2016-01-13,138.72,142.19,138.54,140.89,2598252
2016-01-14,141.18,142.44,138.86,139.74,3720400
2016-01-15,138.69,140.1,137.21,138.3,4683496
2016-01-18,138.69,138.69,138.69,138.69,0
2016-01-19,138.39,140.8,137.41,140.1,3399796
2016-01-20,136.96,137.75,134.6442,136.95,4136338
2016-01-21,137.76,138.67,136.15,136.96,3355469
2016-01-22,139.52,140.43,138.0832,140.14,2979077
2016-01-25,137.57,139.37,137.53,138.96,2805399
2016-01-26,144.78,145.02,140.33,141.79,5129023
2016-01-27,145.55,147.97,144.05,144.95,3596299
2016-01-28,147.32,147.84,145.22,146.16,3067920
2016-01-29,151.0,151.0,148.0,148.24,3993161
2016-02-01,148.73,149.79,148.1,149.33,2700383
2016-02-02,147.87,148.275,146.05,147.59,3581729
2016-02-03,152.52,152.85,148.96,149.36,5766559
2016-02-04,153.44,154.38,151.778,152.42,3458366
2016-02-05,153.47,153.88,151.82,153.2,3368475
2016-02-08,153.9,154.43,151.008,151.63,2505155
2016-02-09,154.74,155.76,152.45,152.95,2968409
2016-02-10,152.45,155.49,152.12,154.43,2911985
2016-02-11,150.67,152.0,149.0,149.91,3182232
2016-02-12,153.96,154.07,150.91,151.51,2292155
2016-02-15,153.96,153.96,153.96,153.96,0
2016-02-16,155.53,155.9,154.26,155.0,2140576
2016-02-17,156.62,157.13,155.6,156.0,2156064
2016-02-18,156.78,156.97,155.97,156.35,2010218
2016-02-19,156.45,157.09,155.87,157.0,2121331
2016-02-22,157.7,158.48,157.11,157.5,2207565
2016-02-23,156.17,157.6899,155.165,157.63,1922760
2016-02-24,157.22,157.6155,153.64,154.84,1937494
2016-02-25,158.99,159.0,157.01,157.54,1718362
2016-02-26,158.27,159.5,158.08,159.15,1843721
2016-02-29,156.87,159.12,156.82,158.01,1992551
2016-03-01,159.59,159.7,157.61,158.75,2204125
2016-03-02,159.41,159.88,158.54,158.88,1807199
2016-03-03,159.38,159.69,158.51,159.41,1926039
2016-03-04,160.07,160.29,158.92,159.46,1766328
2016-03-07,160.57,160.57,158.1701,159.98,2012810
2016-03-08,160.2,160.61,159.35,159.4,2020133
2016-03-09,160.09,160.78,159.52,160.5,1883182
2016-03-10,159.89,160.8,158.28,160.77,1875660
2016-03-11,161.88,162.05,160.65,161.14,1697170
2016-03-14,161.81,162.77,161.0,161.61,1747318
2016-03-15,162.41,162.5,159.35,160.16,1828242
2016-03-16,162.89,163.3,161.52,161.96,1927690
2016-03-17,163.75,164.36,162.84,163.16,2790076
2016-03-18,165.33,165.33,163.9,164.15,5852042
2016-03-21,164.84,165.31,164.41,165.05,2095053
2016-03-22,164.91,165.5,164.39,164.5,2146288
2016-03-23,164.27,164.99,163.46,164.6,2304955
2016-03-24,164.46,164.54,163.0472,163.68,1868769
2016-03-25,164.46,164.46,164.46,164.46,0
2016-03-28,166.28,166.65,164.58,164.93,2336768
2016-03-29,164.39,164.99,163.12,164.93,2525004
2016-03-30,166.75,167.215,165.16,165.37,2195874
2016-03-31,166.63,167.5,166.5,166.75,1777204
2016-04-01,167.53,167.74,164.79,165.63,2011569
2016-04-04,166.4,167.49,165.92,167.11,2022797
2016-04-05,165.81,166.5499,164.65,165.18,1617437
2016-04-06,166.81,167.08,164.84,165.34,2092183
2016-04-07,167.16,167.23,165.25,165.88,2728268
2016-04-08,166.63,167.99,166.1,167.71,1729301
2016-04-11,166.59,167.96,166.57,167.12,1521065
2016-04-12,168.03,168.3954,166.93,167.01,1636492
2016-04-13,168.59,168.9,167.71,168.47,1545911
2016-04-14,168.16,169.0,167.88,169.0,1213407
2016-04-15,168.78,169.0,168.2,168.32,1417007
2016-04-18,169.55,169.87,168.39,168.47,1146593
2016-04-19,169.65,170.77,169.07,169.92,1849420
2016-04-20,168.94,170.45,168.62,170.14,1439679
2016-04-21,168.66,169.7,168.41,168.97,1634976
2016-04-22,168.66,169.76,167.85,169.09,1802263
2016-04-25,168.38,168.51,166.64,168.0,2378121
2016-04-26,166.18,167.79,164.97,167.5,3191913
2016-04-27,167.76,168.38,166.1,166.99,2227723
2016-04-28,167.0,168.77,166.2,166.85,1654554
2016-04-29,167.38,167.78,166.495,166.98,1961760
2016-05-02,168.34,168.5,166.94,167.3,1700272
2016-05-03,167.97,168.07,166.66,167.39,1922150
2016-05-04,167.16,167.7,166.29,166.37,2118061
2016-05-05,167.77,168.33,167.19,167.46,1680203
2016-05-06,168.89,169.05,167.0,167.84,1630184
2016-05-09,168.52,169.05,167.69,168.59,1301262
2016-05-10,170.26,170.39,169.0,169.23,1733137
2016-05-11,169.77,171.27,169.57,170.2,1786405
2016-05-12,170.15,170.63,168.76,169.86,1741928
2016-05-13,168.32,170.38,167.82,170.05,1875893
2016-05-16,169.55,169.9,168.43,168.5,1826215
2016-05-17,167.81,169.94,167.085,169.57,2126015
2016-05-18,166.82,167.93,165.76,166.5,1624389
2016-05-19,165.11,166.06,163.17,165.37,1657233
2016-05-20,165.01,166.47,164.928,165.25,1746994
2016-05-23,166.11,166.56,164.52,165.28,1653531
2016-05-24,168.63,168.79,166.7,167.16,1627511
2016-05-25,169.99,170.355,168.75,169.0,1860038
2016-05-26,168.91,170.77,168.53,170.01,1563894
2016-05-27,168.89,169.03,168.28,168.91,1099137
2016-05-30,168.89,168.89,168.89,168.89,0
2016-05-31,168.32,169.75,167.66,169.32,2169597
2016-06-01,168.69,168.93,167.09,167.78,1228187
2016-06-02,168.04,168.71,167.27,168.71,1980584
2016-06-03,168.38,168.66,167.51,168.05,1433491
2016-06-06,170.08,170.59,168.59,168.85,1510724
2016-06-07,170.91,171.49,170.22,170.25,1723101
2016-06-08,171.42,171.93,170.65,170.95,1684867
2016-06-09,170.13,171.47,169.4,170.5,2208774
2016-06-10,168.56,169.3,167.88,169.27,2123352
2016-06-13,167.13,168.64,167.11,168.45,2129881
2016-06-14,167.61,167.81,166.6,167.29,2021662
