Date,Close,High,Low,Open,Volume
2016-01-01,58.21,58.21,58.21,58.21,0
2016-01-04,57.39,57.58,56.56,57.54,6800552
2016-01-05,58.55,58.74,57.42,57.48,6407647
2016-01-06,59.17,59.47,58.0,58.05,7686571
2016-01-07,58.14,59.3,57.83,57.92,7314095
2016-01-08,58.24,59.23,58.03,58.3,7059460
2016-01-11,59.46,59.74,58.68,58.68,8228719
2016-01-12,59.38,60.08,58.92,59.96,5628176
2016-01-13,57.78,59.35,57.7001,59.35,7714313
2016-01-14,58.22,58.7,57.51,57.7,6738711
2016-01-15,57.2,58.15,56.83,57.05,9785814
2016-01-18,57.2,57.2,57.2,57.2,0
2016-01-19,58.4,58.65,57.69,57.78,7911477
2016-01-20,57.22,58.14,56.151,57.57,9562879
2016-01-21,57.45,57.74,56.762,57.48,6151451
2016-01-22,58.28,58.41,57.52,58.15,6449261
2016-01-25,58.4,59.14,58.27,58.49,6677752
2016-01-26,58.96,59.7,58.35,58.71,8360837
2016-01-27,58.96,60.12,58.51,58.99,8296961
2016-01-28,59.63,59.89,58.02,58.11,7445913
2016-01-29,61.11,61.18,60.02,60.22,10238960
2016-02-01,60.94,61.38,60.7,60.73,6017570
2016-02-02,60.49,60.8,60.05,60.44,6734687
2016-02-03,59.84,61.02,59.135,60.5,7979667
2016-02-04,59.48,59.96,58.87,59.35,6364665
2016-02-05,59.8,60.0,58.84,59.8,7506216
2016-02-08,60.12,60.42,59.0,59.11,7922533
2016-02-09,60.45,61.13,59.73,60.15,7670808
2016-02-10,60.05,61.08,59.915,60.61,6137484
2016-02-11,59.99,60.3,59.18,59.57,5865865
2016-02-12,59.97,60.64,59.51,60.33,6719716
2016-02-15,59.97,59.97,59.97,59.97,0
2016-02-16,60.3,60.54,59.73,60.26,6590793
2016-02-17,60.4,60.75,59.85,60.47,5311747
2016-02-18,60.62,60.7,60.23,60.32,5524670
2016-02-19,60.56,60.93,60.03,60.62,4982327
2016-02-22,61.21,61.36,60.71,61.02,4590489
2016-02-23,61.52,61.77,61.04,61.22,4684214
2016-02-24,61.36,61.42,60.63,61.2,4186882
2016-02-25,62.38,62.445,61.38,61.5,5207188
2016-02-26,61.54,62.53,61.28,62.53,5543565
2016-02-29,61.57,62.24,61.27,61.51,6261506
2016-03-01,61.73,62.29,61.32,62.13,7102049
2016-03-02,61.5,61.69,61.03,61.48,5623093
2016-03-03,62.23,62.285,61.16,61.5,5119081
2016-03-04,62.98,63.065,61.875,62.15,5930922
2016-03-07,61.81,63.08,61.6,62.86,9972846
2016-03-08,62.3,62.39,61.45,61.77,5875112
2016-03-09,62.81,62.89,62.4001,62.64,5932329
2016-03-10,63.0,63.15,62.42,62.91,6126046
2016-03-11,62.01,62.86,61.735,62.8,7469775
2016-03-14,62.01,62.3,61.57,62.14,4755081
2016-03-15,61.86,62.06,61.674,61.69,5815134
2016-03-16,62.07,62.22,61.28,61.83,5282211
2016-03-17,62.33,62.68,62.01,62.07,7225140
2016-03-18,61.54,62.44,61.39,62.39,16636595
2016-03-21,61.72,62.0,61.06,61.45,4124719
2016-03-22,61.0,61.66,60.77,61.45,5198384
2016-03-23,61.41,61.78,60.33,60.86,6229229
2016-03-24,60.88,61.29,60.51,60.81,5651718
2016-03-25,60.88,60.88,60.88,60.88,0
2016-03-28,61.63,61.85,60.85,60.87,4468520
2016-03-29,62.03,62.58,61.48,61.86,8973246
2016-03-30,62.58,62.8,62.03,62.16,6622979
2016-03-31,62.66,62.995,62.37,62.58,6442821
2016-04-01,63.06,63.15,62.11,62.35,5833125
2016-04-04,63.23,63.3,62.67,63.03,5093022
2016-04-05,62.93,63.27,62.79,63.04,4728770
2016-04-06,63.56,63.64,62.92,63.0,5581446
2016-04-07,63.41,63.71,62.83,63.22,5600178
2016-04-08,63.8,63.96,63.42,63.42,5044754
2016-04-11,63.31,64.16,63.22,64.11,5928748
2016-04-12,63.82,63.98,63.33,63.6,4980593
2016-04-13,62.07,64.11,61.03,64.11,14747389
2016-04-14,61.59,62.66,61.5,62.19,7386467
2016-04-15,61.68,61.75,60.85,61.71,6738709
2016-04-18,62.17,62.419,61.58,61.63,4343983
2016-04-19,61.71,62.09,61.13,61.99,4966455
2016-04-20,61.48,61.92,61.21,61.57,4636928
2016-04-21,60.18,61.4199,60.09,61.35,6611635
2016-04-22,60.52,60.56,59.48,60.24,6977961
2016-04-25,61.22,61.23,60.19,60.5,4785240
2016-04-26,61.35,61.53,60.79,61.27,5619193
2016-04-27,61.55,61.98,60.98,61.44,6189310
2016-04-28,62.19,62.595,61.56,61.6,5544990
2016-04-29,62.71,63.13,62.25,62.28,6470251
2016-05-02,63.12,63.42,62.6,62.83,4740244
2016-05-03,63.2,63.46,62.78,63.05,5197946
2016-05-04,63.23,63.5901,62.69,62.94,5468797
2016-05-05,62.84,63.58,62.585,62.67,8835028
2016-05-06,62.93,63.21,62.66,62.72,7225684
2016-05-09,63.66,63.78,62.92,63.16,6759268
2016-05-10,64.6,64.65,63.71,63.98,6488899
2016-05-11,64.61,64.873,64.321,64.53,4776384
2016-05-12,65.02,65.24,64.35,64.66,5652841
2016-05-13,64.58,65.53,64.37,64.7,5643385
2016-05-16,64.76,64.93,63.656,64.3,4811028
2016-05-17,63.88,64.49,63.5,64.45,6949054
2016-05-18,62.99,63.74,62.65,63.71,6277094
2016-05-19,63.35,63.38,62.57,62.88,4379674
2016-05-20,62.96,63.7,62.76,63.59,4815445
2016-05-23,63.24,63.35,62.81,62.99,3709491
2016-05-24,63.79,64.122,63.51,63.59,5209613
2016-05-25,63.92,64.15,63.64,63.79,4265913
2016-05-26,64.0,64.09,63.6515,63.85,3732653
2016-05-27,63.96,64.27,63.6701,64.06,3255739
2016-05-30,63.96,63.96,63.96,63.96,0
2016-05-31,63.64,64.29,63.24,64.12,6922062
2016-06-01,64.35,64.5,63.66,63.68,5993453
2016-06-02,64.31,64.36,63.92,64.26,3672947
2016-06-03,65.3,65.5,64.39,64.5,6829496
2016-06-06,65.2,65.65,64.88,65.46,4813402
2016-06-07,65.1,65.44,64.965,65.22,4177240
2016-06-08,65.62,65.68,64.87,65.02,5437662
2016-06-09,65.86,66.0,65.25,65.5,4638060
2016-06-10,66.13,66.19,65.52,65.56,5208030
2016-06-13,64.84,65.9,64.81,65.5,7761099
2016-06-14,65.3,65.39,64.52,64.97,7870386
2016-06-15,65.33,65.715,64.835,65.43,5361508
2016-06-16,65.95,66.0,65.06,65.33,5777199
2016-06-17,65.4,65.93,64.94,65.85,7311256
2016-06-20,65.88,66.18,65.5688,65.77,5787250
2016-06-21,66.18,66.75,66.16,66.29,4710401
2016-06-22,66.15,66.6,66.09,66.36,4919347
2016-06-23,66.31,66.57,65.96,66.49,5041750
2016-06-24,67.02,68.0,65.07,65.14,16923882
2016-06-27,67.93,67.98,66.95,67.07,11198343
2016-06-28,67.91,67.92,66.9712,67.69,8631546
2016-06-29,67.83,68.42,67.52,68.24,7190533
2016-06-30,68.96,69.26,67.6,67.9,9856190
2016-07-01,69.02,69.63,68.86,69.28,7087159
2016-07-04,69.02,69.02,69.02,69.02,0
2016-07-05,69.61,70.145,69.0,69.12,7905342
2016-07-06,69.72,70.0,69.2,69.57,6665550
2016-07-07,69.3,69.95,69.25,69.9,5330894
2016-07-08,69.83,69.89,68.8901,69.44,5339141
2016-07-11,69.87,70.0599,69.13,69.9,5101589
2016-07-12,68.87,69.86,68.84,69.65,7752917
2016-07-13,69.08,69.32,68.88,68.9,5661282
2016-07-14,68.92,69.31,68.7,68.88,5170481
2016-07-15,69.41,69.48,68.95,69.17,5713920
2016-07-18,69.17,69.4201,68.82,69.31,4569994
2016-07-19,69.22,69.23,68.45,68.81,4725431
2016-07-20,69.01,69.36,68.86,69.24,4272171
2016-07-21,68.73,69.0,68.25,68.95,5321680
2016-07-22,68.86,69.03,68.71,68.94,5772938
2016-07-25,68.8,68.94,68.44,68.78,3916722
2016-07-26,67.93,68.92,67.61,68.79,7357837
2016-07-27,66.75,68.64,66.12,68.64,11249743
2016-07-28,67.11,67.25,66.31,66.81,5816365
2016-07-29,67.7,68.05,66.81,67.2,6147683
2016-08-01,67.65,68.0,67.23,67.66,5038150
2016-08-02,67.34,68.0,67.23,67.88,3974426
2016-08-03,66.37,67.3,66.06,67.26,5662857
2016-08-04,66.62,66.97,66.36,66.55,3512780
2016-08-05,66.53,66.89,66.26,66.64,4695193
2016-08-08,66.49,66.65,65.7,66.32,4947264
2016-08-09,66.62,66.92,66.17,66.55,3305216
2016-08-10,66.84,67.08,66.635,66.67,3161313
2016-08-11,66.74,67.21,66.72,67.06,4341025
2016-08-12,66.74,67.13,66.675,66.95,4174772
2016-08-15,66.26,66.69,66.25,66.67,4072405
2016-08-16,66.26,66.498,66.01,66.08,4876691
2016-08-17,66.46,66.68,65.88,66.42,4736672
2016-08-18,66.31,66.57,66.1075,66.46,4432566
2016-08-19,66.33,66.57,65.93,66.4,3274822
2016-08-22,66.34,66.47,66.09,66.39,2962993
2016-08-23,66.46,66.71,66.38,66.58,3072812
2016-08-24,66.16,66.37,65.81,66.28,5184556
2016-08-25,65.92,66.31,65.7,66.25,4748932
2016-08-26,65.83,66.58,65.72,65.97,5136264
2016-08-29,66.1,66.135,65.72,65.83,3616770
2016-08-30,65.88,66.24,65.76,66.12,3865648
2016-08-31,66.09,66.13,65.7,65.71,4882007
2016-09-01,66.32,66.34,65.73,65.91,4515076
2016-09-02,66.88,67.23,66.45,66.61,4351990
2016-09-05,66.88,66.88,66.88,66.88,0
2016-09-06,67.2,67.32,66.745,66.89,4722733
2016-09-07,66.72,67.31,66.5,67.12,4253442
2016-09-08,66.4,67.08,66.17,66.84,4720721
2016-09-09,63.56,66.085,63.56,66.06,10543110
2016-09-12,64.67,64.81,63.51,63.52,8601886
2016-09-13,63.55,64.48,63.47,64.21,6437624
2016-09-14,63.12,63.77,62.821,63.58,6725403
2016-09-15,63.25,63.38,62.59,62.92,5798530
2016-09-16,62.8,63.07,62.46,63.02,7103250
2016-09-19,62.72,63.0,62.6,62.82,3543051
2016-09-20,62.97,63.215,62.7,62.8,4137479
2016-09-21,63.5,63.63,62.6,62.83,4966311
2016-09-22,64.12,64.32,63.71,63.75,4586691
2016-09-23,63.87,64.39,63.71,64.37,4428499
2016-09-26,63.03,63.88,62.98,63.83,4793927
2016-09-27,63.32,63.43,62.79,63.28,4486983
2016-09-28,63.77,63.9,63.36,63.52,7021004
